Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
1.6738 ,3.0394 ,3.3285 ,4.4348 ,0.1337 ,0.4795 ,0.8827 ,0.9019 ,-0.5092 ,2.0106 ,3.5091 ,28.5040 ,29.9240 
1.9902 ,3.6691 ,4.4527 ,4.9665 ,0.1347 ,0.7117 ,0.8304 ,0.8576 ,-0.6379 ,1.9029 ,2.7777 ,32.0522 ,18.3264 
1.9013 ,3.6036 ,4.3308 ,4.7839 ,0.1302 ,0.3691 ,0.7850 ,0.7994 ,-0.7069 ,1.9017 ,2.8271 ,31.0131 ,17.2278 
1.9043 ,3.6072 ,4.3426 ,4.7894 ,0.1297 ,0.3374 ,0.7859 ,0.8001 ,-0.7065 ,1.9040 ,2.8215 ,31.0036 ,17.3192 
1.9333 ,3.6143 ,4.3480 ,4.8461 ,0.1296 ,0.2468 ,0.8049 ,0.8203 ,-0.6664 ,1.9018 ,2.8133 ,31.3489 ,18.0522 
1.5896 ,2.8530 ,3.1128 ,4.2154 ,0.1333 ,0.7958 ,0.8471 ,0.8472 ,-0.5370 ,1.9933 ,3.6521 ,26.5931 ,27.8641 
1.5883 ,2.8336 ,3.0889 ,4.2188 ,0.1309 ,0.4657 ,0.8511 ,0.8518 ,-0.5267 ,2.0005 ,3.6642 ,26.4241 ,28.7311 
1.9324 ,3.6114 ,4.3377 ,4.8451 ,0.1379 ,1.4536 ,0.8070 ,0.8234 ,-0.6618 ,1.8832 ,2.8197 ,31.4033 ,17.9878 
1.9228 ,3.6063 ,4.3233 ,4.8259 ,0.1308 ,0.3600 ,0.8023 ,0.8179 ,-0.6711 ,1.9014 ,2.8145 ,31.2102 ,18.0995 
1.5853 ,2.8328 ,3.0889 ,4.2137 ,0.1282 ,0.2005 ,0.8511 ,0.8517 ,-0.5276 ,2.0055 ,3.6738 ,26.4413 ,28.6792 
1.9129 ,3.5869 ,4.2650 ,4.8060 ,0.1299 ,0.2916 ,0.8026 ,0.8171 ,-0.6673 ,1.8965 ,2.8294 ,31.2106 ,17.5072 
1.5272 ,2.6373 ,2.9085 ,4.1021 ,0.1279 ,0.2251 ,0.8609 ,0.8571 ,-0.4708 ,2.0273 ,3.8226 ,24.3199 ,33.7598 
1.9128 ,3.5868 ,4.2648 ,4.8058 ,0.1299 ,0.2916 ,0.8026 ,0.8171 ,-0.6674 ,1.8965 ,2.8295 ,31.2106 ,17.5035 
1.5272 ,2.6374 ,2.9086 ,4.1022 ,0.1279 ,0.2232 ,0.8609 ,0.8571 ,-0.4708 ,2.0273 ,3.8225 ,24.3211 ,33.7557 
1.9129 ,3.5868 ,4.2649 ,4.8058 ,0.1299 ,0.2922 ,0.8026 ,0.8171 ,-0.6673 ,1.8965 ,2.8294 ,31.2101 ,17.5054 
1.5272 ,2.6373 ,2.9083 ,4.1021 ,0.1279 ,0.2247 ,0.8609 ,0.8571 ,-0.4708 ,2.0273 ,3.8225 ,24.3197 ,33.7591 
1.9129 ,3.5870 ,4.2653 ,4.8060 ,0.1299 ,0.2935 ,0.8026 ,0.8171 ,-0.6673 ,1.8965 ,2.8294 ,31.2102 ,17.5100 
1.5272 ,2.6373 ,2.9086 ,4.1022 ,0.1279 ,0.2261 ,0.8609 ,0.8571 ,-0.4707 ,2.0272 ,3.8225 ,24.3195 ,33.7592 
1.5114 ,2.5921 ,2.8888 ,4.0722 ,0.1292 ,0.3819 ,0.8641 ,0.8595 ,-0.4541 ,2.0410 ,3.8510 ,23.6055 ,35.8338 
1.9026 ,3.5753 ,4.2147 ,4.7885 ,0.1293 ,0.2205 ,0.8028 ,0.8169 ,-0.6678 ,1.8997 ,2.8381 ,31.2544 ,16.8723 
1.5120 ,2.5888 ,2.8769 ,4.0747 ,0.1292 ,0.3303 ,0.8645 ,0.8591 ,-0.4525 ,2.0307 ,3.8449 ,23.5563 ,36.1494 
1.9184 ,3.5885 ,4.2572 ,4.8193 ,0.1345 ,0.7804 ,0.8075 ,0.8211 ,-0.6600 ,1.8948 ,2.8282 ,31.4329 ,17.1573 
1.9031 ,3.5777 ,4.2273 ,4.7887 ,0.1298 ,0.2563 ,0.8020 ,0.8163 ,-0.6682 ,1.8991 ,2.8328 ,31.2040 ,17.0448 
1.5108 ,2.5935 ,2.8845 ,4.0723 ,0.1278 ,0.2435 ,0.8642 ,0.8599 ,-0.4542 ,2.0410 ,3.8485 ,23.6025 ,35.9087 
1.9078 ,3.5813 ,4.2380 ,4.7978 ,0.1314 ,0.4268 ,0.8036 ,0.8179 ,-0.6653 ,1.8960 ,2.8361 ,31.2356 ,17.0934 
1.5106 ,2.5881 ,2.8839 ,4.0709 ,0.1341 ,1.0665 ,0.8645 ,0.8600 ,-0.4521 ,2.0246 ,3.8518 ,23.5574 ,35.9543 
1.5146 ,2.6147 ,2.9232 ,4.0724 ,0.1388 ,2.4231 ,0.8620 ,0.8577 ,-0.4606 ,2.0080 ,3.8405 ,23.7897 ,35.0856 
1.9150 ,3.5843 ,4.2340 ,4.8128 ,0.1403 ,1.9265 ,0.8052 ,0.8197 ,-0.6628 ,1.8726 ,2.8312 ,31.4557 ,16.6870 
1.5623 ,2.7874 ,2.9719 ,4.1678 ,0.1291 ,0.2946 ,0.8504 ,0.8513 ,-0.5156 ,1.9883 ,3.6832 ,26.1059 ,29.3126 
1.9211 ,3.6003 ,4.3018 ,4.8228 ,0.1303 ,0.3188 ,0.8081 ,0.8248 ,-0.6619 ,1.9070 ,2.8079 ,31.2878 ,18.4261 
1.5514 ,2.8994 ,2.9985 ,4.1532 ,0.1301 ,0.2412 ,0.8476 ,0.8491 ,-0.5606 ,2.0136 ,3.6442 ,27.3538 ,23.5372 
1.5270 ,2.7491 ,2.9220 ,4.0989 ,0.1328 ,0.7543 ,0.8486 ,0.8464 ,-0.5217 ,2.0099 ,3.7438 ,25.6871 ,28.0726 
1.9042 ,3.5855 ,4.3268 ,4.7794 ,0.1288 ,0.2463 ,0.7937 ,0.8013 ,-0.6764 ,1.9120 ,2.8196 ,30.8154 ,19.9279 
1.5042 ,2.5656 ,2.7603 ,4.0368 ,0.1311 ,0.7273 ,0.8443 ,0.8343 ,-0.4833 ,1.9922 ,3.8357 ,23.7669 ,32.1105 
1.4534 ,2.3600 ,2.5771 ,3.9233 ,0.1404 ,3.4341 ,0.8498 ,0.8363 ,-0.4303 ,1.9231 ,3.9702 ,21.4490 ,36.2170 
1.8960 ,3.5723 ,4.2948 ,4.7631 ,0.1318 ,0.6452 ,0.7962 ,0.8047 ,-0.6692 ,1.9060 ,2.8291 ,30.7234 ,19.5004 
1.5023 ,2.8256 ,2.7010 ,4.0875 ,0.1318 ,0.2908 ,0.8504 ,0.8533 ,-0.5611 ,1.9872 ,3.7115 ,28.0372 ,22.7643 
1.4941 ,2.7798 ,2.6993 ,4.0626 ,0.1326 ,0.3758 ,0.8485 ,0.8492 ,-0.5560 ,1.9907 ,3.7318 ,27.3219 ,23.6549 
1.5335 ,2.8194 ,2.9928 ,4.1066 ,0.1378 ,1.6162 ,0.8463 ,0.8497 ,-0.5460 ,2.0038 ,3.7168 ,26.2729 ,25.4478 
1.7088 ,3.2927 ,3.5229 ,4.4355 ,0.1308 ,0.3654 ,0.8062 ,0.8171 ,-0.6619 ,1.9160 ,3.1552 ,30.4290 ,13.7582 
1.4945 ,2.5646 ,2.7462 ,4.0384 ,0.1296 ,0.3273 ,0.8613 ,0.8584 ,-0.4581 ,2.0021 ,3.8584 ,23.6971 ,34.1800 
1.9254 ,3.5921 ,4.2714 ,4.8312 ,0.1297 ,0.2382 ,0.8112 ,0.8264 ,-0.6543 ,1.9032 ,2.8130 ,31.3168 ,18.3298 
1.4690 ,2.4678 ,2.6355 ,3.9717 ,0.1264 ,0.2418 ,0.8495 ,0.8374 ,-0.4591 ,2.0111 ,3.9033 ,22.6866 ,35.1508 
1.8996 ,3.5750 ,4.2873 ,4.7713 ,0.1380 ,1.5974 ,0.7915 ,0.7994 ,-0.6764 ,1.8808 ,2.8315 ,30.8069 ,19.6960 
1.4218 ,2.2166 ,2.4628 ,3.8526 ,0.1246 ,0.2459 ,0.8569 ,0.8416 ,-0.3885 ,2.0052 ,4.0405 ,19.6664 ,40.0574 
1.8981 ,3.5649 ,4.2658 ,4.7683 ,0.1298 ,0.3002 ,0.7957 ,0.8055 ,-0.6648 ,1.8925 ,2.8363 ,30.8464 ,19.0456 
1.5301 ,2.8339 ,2.8792 ,4.1154 ,0.1358 ,1.0172 ,0.8490 ,0.8534 ,-0.5415 ,1.9844 ,3.6901 ,26.8226 ,24.7860 
1.5006 ,2.6164 ,2.8187 ,4.0439 ,0.1334 ,0.7419 ,0.8607 ,0.8583 ,-0.4748 ,2.0176 ,3.8401 ,24.1451 ,31.4549 
1.5854 ,3.0237 ,3.1392 ,4.2079 ,0.1310 ,0.3940 ,0.8346 ,0.8418 ,-0.6000 ,1.9902 ,3.4910 ,28.3737 ,19.3456 
1.5428 ,2.8726 ,2.9685 ,4.1281 ,0.1327 ,0.5775 ,0.8389 ,0.8433 ,-0.5688 ,1.9868 ,3.6525 ,27.0104 ,23.2453 
1.5277 ,2.8369 ,2.8739 ,4.1206 ,0.1325 ,0.5012 ,0.8581 ,0.8606 ,-0.5323 ,2.0176 ,3.6836 ,27.0280 ,25.8590 
1.5361 ,2.8441 ,2.9107 ,4.1369 ,0.1304 ,0.2622 ,0.8572 ,0.8602 ,-0.5303 ,2.0130 ,3.6685 ,26.9360 ,26.8010 
1.8990 ,3.5826 ,4.2951 ,4.7726 ,0.1299 ,0.3344 ,0.7944 ,0.8033 ,-0.6774 ,1.9085 ,2.8210 ,30.9281 ,19.8293 
1.4838 ,2.6171 ,2.7124 ,4.0047 ,0.1308 ,0.5467 ,0.8451 ,0.8372 ,-0.5004 ,2.0024 ,3.8506 ,24.7119 ,30.2975 
1.4333 ,2.3244 ,2.4908 ,3.8912 ,0.1265 ,0.2572 ,0.8492 ,0.8345 ,-0.4305 ,1.9953 ,3.9913 ,21.2592 ,36.9178 
1.8982 ,3.5668 ,4.2638 ,4.7684 ,0.1308 ,0.4139 ,0.7938 ,0.8018 ,-0.6716 ,1.8970 ,2.8290 ,30.8069 ,19.6647 
1.4329 ,2.3226 ,2.4886 ,3.8902 ,0.1266 ,0.2772 ,0.8498 ,0.8354 ,-0.4291 ,1.9953 ,3.9956 ,21.2430 ,36.9456 
1.8982 ,3.5667 ,4.2635 ,4.7685 ,0.1299 ,0.3184 ,0.7971 ,0.8051 ,-0.6682 ,1.9056 ,2.8257 ,30.8080 ,19.6591 
