,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-49.1137386,-49.15345794,-49.17358945,-49.18412735,-49.18946801,-49.19227455,-49.19327279,-49.19220275,-49.19041587,-49.18953606,-49.18907112,-49.18891228,-49.18896694,-49.18916417,-49.18950836,-49.19019359,-49.18960012,-49.1896732,-49.18968921,-49.18944347,-49.18926433,-49.18918236,-49.1891675,-49.18921088
2,-49.19612998,-49.19065003,-49.19922044,-49.19606333,-49.19420574,-49.19274128,-49.19264205,-49.19542024,-49.1740365,-49.18826005,-49.18881432,-49.18895233,-49.18888633,-49.18820022,-49.18991362,-49.18973852,-49.18952867,-49.18967373,-49.18999966,-49.18842285,-49.18906272,-49.18916373,-49.18917835,-49.18912377
3,-49.19067059,-49.18749483,-49.18328847,-49.18651967,-49.18917308,-49.18965083,-49.19005856,-49.18980387,-49.18972097,-49.18946387,-49.18954268,-49.18943765,-49.18960793,-49.18943694,-49.18953778,-49.18940107,-49.18948893,-49.18940561,-49.18947321,-49.18941278,-49.18944366,-49.1894107,-49.18942515,-49.18941107
4,-49.20528297,-49.18303168,-49.1869583,-49.19556301,-49.18989406,-49.18973592,-49.18990988,-49.18967773,-49.1898412,-49.18952026,-49.18949434,-49.18949045,-49.18950011,-49.18948765,-49.18947172,-49.18944929,-49.18944286,-49.18943916,-49.18943728,-49.18943079,-49.18942591,-49.18941988,-49.18941757,-49.18941513
5,-49.19558811,-49.18645629,-49.18009657,-49.19054266,-49.19115216,-49.19018849,-49.18982545,-49.19010851,-49.18595264,-49.18946187,-49.18949015,-49.18949306,-49.189495,-49.18951642,-49.18958474,-49.189438,-49.18943549,-49.18943468,-49.18944018,-49.18933633,-49.18933939,-49.18941337,-49.18940782,-49.18941806
6,-49.19263712,-49.18902855,-49.18985375,-49.19074947,-49.19055999,-49.18945749,-49.18963442,-49.18964692,-49.18956592,-49.18951956,-49.18950519,-49.18949486,-49.1894935,-49.18943655,-49.18948518,-49.18943594,-49.18943445,-49.18943551,-49.18944711,-49.18938289,-49.1895009,-49.18941057,-49.18941977,-49.18942004
7,-49.19124711,-49.18952884,-49.19142844,-49.19013352,-49.18944746,-49.18968274,-49.18964901,-49.18963646,-49.18942686,-49.18948543,-49.18953076,-49.18948163,-49.18951547,-49.18947628,-49.18946233,-49.18943507,-49.189436,-49.18943846,-49.18946677,-49.189429,-49.18941784,-49.18940584,-49.18942028,-49.18941969
8,-49.19069505,-49.18986963,-49.18981997,-49.18978596,-49.18962958,-49.18964879,-49.1897029,-49.18959175,-49.18949344,-49.18944304,-49.18918497,-49.18943081,-49.18946002,-49.18939534,-49.18936003,-49.18939789,-49.18937886,-49.18939438,-49.1893977,-49.18938638,-49.1894025,-49.18938144,-49.18938561,-49.18939057
9,-49.19070289,-49.18980609,-49.18964706,-49.1898369,-49.18964508,-49.18963295,-49.18959081,-49.18955158,-49.18959674,-49.18930105,-49.18934118,-49.18938758,-49.18932995,-49.18931895,-49.18934869,-49.18935108,-49.18933136,-49.18934581,-49.18932789,-49.18933353,-49.18934103,-49.18934422,-49.18933297,-49.18932232
10,-49.19105103,-49.18976423,-49.18981853,-49.18988104,-49.18955639,-49.18949984,-49.18947943,-49.18974848,-49.1894916,-49.189412,-49.18939826,-49.18937309,-49.18941047,-49.1892999,-49.18931088,-49.18934067,-49.18934138,-49.18933848,-49.18932923,-49.18934686,-49.1893485,-49.1893421,-49.18933023,-49.18933229
11,-49.19108307,-49.18951226,-49.18947575,-49.18906498,-49.18945921,-49.18943156,-49.18936291,-49.18955596,-49.18940966,-49.18939391,-49.18941841,-49.18934168,-49.18930939,-49.18935857,-49.18930305,-49.18934143,-49.18934078,-49.18934765,-49.18933117,-49.18934843,-49.18934691,-49.18933948,-49.1893393,-49.189338
