,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.17E-08,2.15E-08,6.18E-07,3.18E-05,5.74E-05,3.86E-09,1.95E-07,2.51E-07,1.89E-07,1.97E-07,1.10E-05,0.001976568,1.02E-05,0.000146969,1.88E-07,4.41E-07,5.06E-08,2.73E-07,5.93E-06,0.000893547,0.000134254,6.32E-05,3.26E-09,3.34E-07
2,0.00498993,0.042664397,0.008774327,0.000119026,6.35E-05,0.00035275,4.10E-09,1.69E-07,2.00E-07,6.89E-07,0.000990605,0.001305364,0.000353093,0.000356473,4.77E-07,6.19E-10,2.22E-07,2.76E-09,0.000260116,0.000246892,0.000223702,0.000337857,0.000158126,7.70E-08
3,0.001459243,0.021462454,9.71E-09,1.30E-08,1.90E-08,1.43E-08,8.64E-08,1.53E-07,6.89E-08,6.52E-08,6.92E-08,7.86E-08,1.39E-07,8.06E-08,2.65E-07,4.65E-07,1.69E-06,5.14E-06,7.60E-05,0.00021049,3.54E-05,0.000116578,0.000108447,1.89E-05
4,0.004450336,9.79E-09,7.33E-07,1.94E-07,1.61E-08,6.36E-06,0.002319498,3.28E-08,6.51E-08,6.84E-08,7.30E-08,9.04E-08,1.18E-08,1.27E-07,0.000808217,1.67E-05,1.99E-06,2.00E-05,2.97E-05,5.35E-05,0.000189351,5.89E-05,0.000210414,0.000206743
5,7.27E-07,1.21E-08,3.94E-07,5.43E-07,5.33E-08,8.99E-09,5.57E-09,5.14E-08,6.26E-08,7.83E-08,7.75E-08,7.04E-08,6.72E-08,8.03E-08,8.44E-07,5.49E-07,4.77E-05,1.57E-05,3.40E-06,3.20E-07,3.27E-05,1.91E-05,5.64E-05,0.000532807
6,5.28E-08,1.82E-08,1.55E-08,6.94E-08,1.79E-08,7.77E-09,0.00024398,6.90E-08,5.16E-08,8.30E-08,1.07E-06,7.37E-08,7.34E-08,6.80E-08,5.91E-07,3.51E-05,1.49E-05,0.000119934,8.57E-06,9.62E-06,7.98E-07,3.35E-05,8.40E-05,0.000983688
7,0.0001465,1.42E-08,5.98E-07,8.72E-09,7.72E-09,1.62E-09,1.82E-08,2.47E-09,4.15E-07,1.49E-07,9.29E-08,7.35E-08,7.37E-08,7.02E-07,7.09E-06,5.83E-05,4.19E-05,1.14E-05,1.85E-05,8.13E-05,0.000152674,4.14E-05,0.000212441,1.06E-05
8,0.005111536,1.81E-09,0.000379789,5.66E-09,1.38E-06,1.84E-08,3.72E-08,2.00E-08,1.43E-08,0.00011627,4.00E-08,5.39E-06,4.02E-05,1.32E-07,1.68E-05,1.37E-07,6.49E-05,3.56E-05,2.37E-05,0.000341043,3.61E-05,0.000203911,5.22E-06,2.66E-07
9,0.000268803,3.32E-08,5.81E-05,3.11E-09,3.98E-09,4.83E-07,3.90E-08,1.28E-08,2.21E-08,7.32E-07,6.25E-06,1.10E-05,1.40E-06,5.50E-07,1.45E-05,0.0001708,0.000343581,3.13E-09,4.02E-05,4.08E-06,1.38E-05,6.64E-07,5.76E-05,1.59E-07
10,6.64E-10,8.75E-10,8.41E-10,7.07E-07,3.27E-09,3.03E-09,1.68E-08,5.30E-08,2.62E-07,0.000205125,6.95E-06,2.00E-05,0.000121289,4.44E-08,0.000100528,5.84E-05,0.000102086,5.47E-07,4.96E-05,7.06E-05,1.54E-05,2.31E-07,5.31E-06,1.97E-05
11,1.16E-09,8.51E-10,8.71E-10,5.68E-07,3.05E-09,3.25E-09,3.93E-08,3.92E-08,0.000110529,2.46E-05,1.93E-05,0.00053811,0.000184979,2.58E-07,0.000255261,1.53E-05,2.19E-05,6.22E-07,1.81E-05,5.07E-06,5.16E-05,4.47E-08,7.56E-05,5.42E-06
12,0.00010527,1.13E-09,3.06E-05,2.50E-09,9.06E-09,6.16E-05,3.92E-08,3.93E-08,9.20E-06,3.92E-06,0.000361346,4.52E-07,6.63E-05,2.08E-08,4.88E-07,5.32E-07,4.18E-07,1.36E-09,1.49E-06,7.85E-10,1.53E-06,7.94E-10,2.17E-06,1.08E-09
13,0.001950994,1.34E-09,0.002483164,3.23E-08,5.15E-09,0.000109681,2.31E-09,0.000167941,6.13E-08,3.35E-05,4.26E-07,5.70E-07,4.06E-06,6.05E-07,5.37E-07,4.90E-07,1.38E-07,4.59E-07,7.22E-07,2.19E-09,2.11E-09,1.63E-09,1.57E-09,1.30E-09
14,0.00043609,1.09E-09,3.03E-05,6.13E-09,5.31E-09,5.34E-06,1.25E-08,1.02E-08,2.57E-07,1.01E-08,1.02E-07,6.12E-07,1.28E-08,5.30E-07,6.08E-07,2.55E-07,2.40E-07,2.24E-09,2.16E-06,2.10E-09,2.21E-09,1.56E-09,1.66E-09,1.33E-09
15,1.17E-07,2.08E-09,4.21E-09,0.000443645,5.73E-09,4.31E-09,0.012328896,8.64E-09,8.95E-08,1.03E-06,1.15E-08,6.35E-09,8.72E-09,9.83E-08,1.43E-07,2.40E-07,2.53E-07,0.002026386,1.65E-09,1.65E-09,5.34E-06,2.05E-09,1.53E-08,2.25E-09
16,1.09E-07,3.25E-09,2.16E-09,1.70E-09,5.06E-09,5.65E-09,7.49E-09,1.00E-08,9.96E-09,7.88E-09,6.77E-09,9.94E-09,4.13E-08,1.52E-07,6.29E-08,2.24E-09,3.69E-07,2.36E-09,1.65E-09,1.65E-09,3.08E-06,1.02E-08,2.26E-09,2.09E-09
17,1.41E-05,2.88E-08,0.000290984,1.52E-05,1.30E-08,0.000176223,7.75E-10,2.96E-08,1.55E-05,7.68E-05,3.21E-08,4.00E-05,2.21E-06,2.18E-09,1.51E-07,2.86E-05,2.08E-05,1.93E-09,1.16E-05,3.23E-09,2.94E-05,2.07E-09,2.09E-09,2.20E-09
18,0.000856359,8.55E-08,9.79E-05,0.000268213,3.61E-08,0.000474111,0.000121504,2.42E-07,1.47E-06,2.16E-05,4.85E-07,6.53E-07,2.49E-05,2.21E-07,2.28E-09,1.16E-05,7.47E-09,4.14E-09,5.22E-07,5.54E-06,1.15E-06,8.04E-09,6.85E-07,1.34E-08
19,1.41E-05,2.61E-07,2.64E-07,3.26E-06,9.46E-08,1.10E-07,8.63E-06,8.77E-08,7.36E-08,5.63E-07,1.15E-07,4.98E-08,1.42E-06,2.49E-07,2.78E-09,2.84E-07,3.60E-07,7.83E-09,1.24E-05,3.18E-06,5.58E-06,1.47E-08,4.50E-07,1.20E-08
20,1.03E-08,2.69E-07,2.55E-07,2.23E-07,1.09E-07,9.14E-08,1.38E-07,7.32E-08,8.63E-08,9.29E-08,1.15E-07,6.95E-08,9.92E-08,5.43E-09,1.36E-08,3.74E-07,4.28E-05,1.16E-07,2.72E-07,1.27E-05,8.86E-08,3.26E-07,3.01E-07,1.18E-08
21,1.03E-08,1.79E-07,2.72E-07,2.83E-07,1.69E-07,1.33E-07,1.18E-07,8.93E-08,1.11E-07,1.16E-07,1.22E-07,1.27E-07,1.22E-07,1.02E-07,9.66E-08,9.10E-08,7.89E-08,8.97E-08,1.07E-07,1.30E-07,1.74E-07,3.11E-07,3.33E-07,6.06E-07
22,0.000725368,9.04E-08,6.15E-08,3.01E-05,7.20E-07,2.97E-07,2.33E-05,3.28E-07,4.83E-07,7.79E-05,0.00042904,6.99E-07,2.32E-05,2.87E-05,2.80E-08,9.91E-08,1.36E-05,9.45E-08,1.90E-07,6.78E-06,1.24E-05,3.23E-07,2.91E-08,8.59E-06
23,0.002123361,5.74E-08,8.35E-08,0.001371165,1.62E-07,5.58E-07,0.000106466,2.69E-08,2.00E-07,0.000141331,5.48E-08,4.42E-09,5.38E-05,8.69E-07,8.96E-08,5.12E-06,1.75E-05,1.61E-07,7.30E-07,4.32E-06,9.23E-05,3.24E-05,1.47E-07,2.75E-05
24,5.64E-07,2.61E-09,6.94E-08,1.40E-06,1.27E-07,3.32E-07,3.16E-07,3.27E-07,2.11E-09,2.77E-07,6.59E-07,3.90E-07,5.79E-09,5.62E-07,1.39E-07,1.65E-07,2.42E-07,3.97E-07,5.85E-06,7.27E-07,5.36E-07,3.36E-06,3.89E-07,4.67E-07
