,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-49.08908267,-49.14462496,-49.1775134,-49.19438814,-49.19714811,-49.19188916,-49.18344726,-49.17760597,-49.1753627,-49.17593136,-49.17833473,-49.17926665,-49.18205303,-49.18145162,-49.17974077,-49.17794616,-49.1773209,-49.17759171,-49.1788235,-49.17787466,-49.17706616,-49.18153591,-49.18128951,-49.17811222
2,-49.25848944,-49.21656438,-49.21847935,-49.19987869,-49.1956527,-49.20866697,-49.13848374,-49.17358425,-49.17580837,-49.1751205,-49.17310044,-49.18043409,-49.18012201,-49.17997924,-49.13464076,-49.17677073,-49.17750356,-49.17721581,-49.1719607,-49.18595115,-49.17645279,-49.18046995,-49.16643401,-49.1770938
3,-49.14999121,-49.2211284,-49.17423631,-49.18303101,-49.18457522,-49.1839225,-49.18176779,-49.17989796,-49.17931075,-49.1792889,-49.17942208,-49.17938235,-49.17927567,-49.17923022,-49.17936152,-49.17950344,-49.17967914,-49.17960283,-49.179918,-49.18005233,-49.18028834,-49.1797782,-49.17970401,-49.17988405
4,-49.20565086,-49.17365153,-49.18552404,-49.18533212,-49.18414321,-49.18500335,-49.17499832,-49.17886271,-49.17928786,-49.17930745,-49.17939149,-49.17944717,-49.17919407,-49.17926316,-49.17898865,-49.1796256,-49.17949897,-49.17951824,-49.17937461,-49.17923051,-49.17966767,-49.17938121,-49.17934598,-49.17971006
5,-49.19664639,-49.18277502,-49.18533177,-49.18555052,-49.17858149,-49.18231822,-49.18145501,-49.17957391,-49.17949998,-49.17937434,-49.17935412,-49.17929923,-49.17935115,-49.17932743,-49.17984644,-49.1793472,-49.17962645,-49.17950448,-49.17975541,-49.17946185,-49.17902149,-49.17956602,-49.17935867,-49.17950341
6,-49.19276654,-49.18441963,-49.18407879,-49.17836898,-49.18286201,-49.18178761,-49.1840445,-49.17948688,-49.17959764,-49.17933556,-49.17946006,-49.17933186,-49.17933299,-49.1793439,-49.17956864,-49.17965915,-49.17971914,-49.17931723,-49.17956219,-49.18021018,-49.17965846,-49.17958966,-49.17877194,-49.17956591
7,-49.2009609,-49.1839563,-49.18462278,-49.18227328,-49.1817748,-49.17453234,-49.18091624,-49.17892494,-49.17919976,-49.17927599,-49.17930822,-49.17933295,-49.17933182,-49.17930129,-49.17921749,-49.17950015,-49.1790668,-49.17951739,-49.17956773,-49.17873285,-49.17983364,-49.17956852,-49.17924794,-49.18012948
8,-49.15896584,-49.18182414,-49.18376275,-49.18146722,-49.1835265,-49.1809079,-49.18019994,-49.17932847,-49.17935212,-49.1798076,-49.17964582,-49.17892019,-49.17913553,-49.17946811,-49.17979846,-49.17936822,-49.18004607,-49.17911693,-49.17940004,-49.17955287,-49.18000126,-49.17990252,-49.17997975,-49.17905472
9,-49.15519693,-49.17921674,-49.17549774,-49.17895734,-49.17915455,-49.17859439,-49.17931221,-49.17935009,-49.17932352,-49.17972246,-49.18047603,-49.17898662,-49.179108,-49.17973135,-49.18089663,-49.18075187,-49.17900129,-49.1799847,-49.18045893,-49.18058424,-49.1800649,-49.18016723,-49.1801825,-49.18045721
10,-49.17257044,-49.17793125,-49.17772868,-49.17919157,-49.17902242,-49.17898607,-49.17935482,-49.1792938,-49.17950414,-49.17903958,-49.17913746,-49.17788921,-49.1796333,-49.17997258,-49.18013724,-49.17918211,-49.17978187,-49.18024987,-49.18115667,-49.18023455,-49.18070494,-49.18041734,-49.18095663,-49.18055981
11,-49.17350165,-49.17776417,-49.17789596,-49.17875642,-49.17898821,-49.17901628,-49.17960294,-49.17960209,-49.17955886,-49.17908282,-49.17939804,-49.18012459,-49.17946561,-49.18026331,-49.18084102,-49.18071196,-49.18035061,-49.18043255,-49.17957051,-49.18073108,-49.17997131,-49.18052993,-49.18029739,-49.18085051
