,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-29.196495285749346,-29.216923040701996,-29.226151843381047,-29.230721505417304,-29.233085529369756,-29.234331696452095,-29.23430356944346,-29.23453034243922,-29.234123039484597,-29.234018422683544,-29.233827369926786,-29.233736925040162,-29.233708966277593,-29.233722982267537,-29.23376822617883,-29.233853215821455,-29.23406643370944,-29.233995449008216,-29.233365170538494,-29.234022529042463,-29.233856700126427,-29.233839349974335,-29.23380176973728,-29.233786421515177
1,-29.234206344572776,-29.23964551489164,-29.23873071213782,-29.23833622990764,-29.23632919009123,-29.23520150572319,-29.234557074422003,-29.23404258009022,-29.23445579575366,-29.233177379740244,-29.23360696961312,-29.23369419675792,-29.23371813716662,-29.233700885045877,-29.233742334404006,-29.23382447001065,-29.233940466751033,-29.233963550033646,-29.2339598329902,-29.23400389990813,-29.234279652470317,-29.233710025965,-29.233769353359456,-29.233785339315574
2,-29.220699616888343,-29.229549262771936,-29.229462285321585,-29.23228276632142,-29.233473889220427,-29.23386505853612,-29.23404850651657,-29.233951517621062,-29.23388922066817,-29.233858675212495,-29.233859531275755,-29.23387293919109,-29.23389143106816,-29.233881433650144,-29.233872641885085,-29.23386855414594,-29.233869085535442,-29.233871711968334,-29.23387295304245,-29.233871977999158,-29.233870054549488,-29.233869430858157,-29.23386959269475,-29.233870339347394
3,-29.233192274184134,-29.229462283260034,-29.22954707827589,-29.23434092362109,-29.234226640721968,-29.23401892712956,-29.23397097578446,-29.23398409689841,-29.23381868563163,-29.233859514442603,-29.23385863186022,-29.233897476781305,-29.23388167430386,-29.233891520456375,-29.233861715024595,-29.23386901839589,-29.23386839424808,-29.233875333236362,-29.23387273714645,-29.23387614421718,-29.233869049423276,-29.233869557896824,-29.233869379172617,-29.23387031720907
4,-29.23764117945559,-29.232268787173176,-29.233943888796087,-29.233148908975444,-29.23373492670991,-29.23385506565142,-29.23388043973185,-29.23388398475938,-29.233880066971,-29.23387551430308,-29.233878259329433,-29.23387136857726,-29.233875995513092,-29.23386785388466,-29.233875875774373,-29.233871532438478,-29.233871531041324,-29.233870990893383,-29.2338710354011,-29.233870687965638,-29.23386994353201,-29.233872270145287,-29.23386987424324,-29.23387005417837
5,-29.234319386228933,-29.233423467138145,-29.234249328158597,-29.233733714678618,-29.234032770201708,-29.23390118229885,-29.233884864187388,-29.233882165442715,-29.23389405549247,-29.233877034866737,-29.233876046298775,-29.233874136933814,-29.233873926317465,-29.233872311582267,-29.233872288933036,-29.233871531040048,-29.23387153244146,-29.23387103234987,-29.23387099697523,-29.233871455925254,-29.23387030508908,-29.23387020087056,-29.23387000013035,-29.233869938994854
6,-29.234261623461304,-29.233772853062444,-29.234007774532312,-29.233852399904578,-29.23389986330305,-29.233875623951874,-29.233871108648305,-29.233873878195205,-29.233879848998928,-29.233873512808817,-29.23389302659523,-29.23387387651584,-29.233874203471768,-29.233872288481262,-29.233872312455816,-29.233852167594105,-29.23387078010109,-29.233870534583286,-29.233871222810897,-29.233870888335673,-29.233870135072653,-29.2338704365894,-29.23386969952794,-29.23387085365118
7,-29.23405261176221,-29.23387032513515,-29.233911094408242,-29.23387719441201,-29.233884509544595,-29.233871101402695,-29.233873065412038,-29.23387070724549,-29.233877325207832,-29.23385266355501,-29.233870386386705,-29.233872398488185,-29.233884239608216,-29.233871252182656,-29.233873505291914,-29.233871369350428,-29.233870601827892,-29.23387081641824,-29.233870495215232,-29.23387847282872,-29.233869148196458,-29.23386821353806,-29.233867949349925,-29.233870594331027
8,-29.233978420409592,-29.233893983674438,-29.233895640268987,-29.23388190757163,-29.23388098243494,-29.2338738684038,-29.23387069673726,-29.233874561068337,-29.233875748790872,-29.23387285257333,-29.233873046047773,-29.23387146505858,-29.233867339952184,-29.23386795179923,-29.233872385508732,-29.23386982866115,-29.233875663976715,-29.233869791352515,-29.23386843077923,-29.233869667030262,-29.233868148756,-29.23386690973659,-29.233864575974835,-29.2338677546058
9,-29.233963118310164,-29.233895495500562,-29.233894308022137,-29.233880633904775,-29.233882565266654,-29.23387919655437,-29.233877266350824,-29.233875747762422,-29.233875211215842,-29.23387303143237,-29.233872861858977,-29.23386987449286,-29.233866805160964,-29.233866548360965,-29.23386653631976,-29.233864679217593,-29.233867525484754,-29.233867109129932,-29.233868997739993,-29.23386488559343,-29.233867517242988,-29.233870832771757,-29.233870107306483,-29.233867606391687
