,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-100.03658781412564,-100.03535198121868,-100.0549438981428,-100.05699702088904,-100.06230922222214,-100.06247389491786,-100.06400000150556,-100.06330448237155,-100.06338067388918,-100.06275541555665,-100.06264927359094,-100.06240453154827,-100.06242071849846,-100.06236564221747,-100.06245356850182,-100.0624564186474,-100.0625683861023,-100.06254082742153,-100.06257847098219,-100.06255035816989,-100.06254577020873,-100.06246259978268,-100.0624618867671,-100.06242827002028
1,-100.03536013845718,-100.03649450930735,-100.05730130670142,-100.05361287128471,-100.06247150962051,-100.06229123813297,-100.06347459183034,-100.06336294606147,-100.06330744773143,-100.06262152129767,-100.06284353316418,-100.06241961537359,-100.06240821390404,-100.06239842760858,-100.06245651955071,-100.06245347308521,-100.06257821080032,-100.06255313664101,-100.06257553668922,-100.06254322141936,-100.06254878774085,-100.06246187731136,-100.06246261318856,-100.06243889707308
2,-100.03445366750017,-100.06087126232676,-100.06479402174685,-100.06891896328632,-100.06503981914017,-100.06389830623337,-100.06335650228478,-100.06356332342142,-100.06358324374156,-100.06117510045154,-100.0622044403702,-100.0623641542924,-100.06239760122841,-100.06240500070106,-100.06233043546925,-100.06253172102188,-100.06253670258003,-100.0625890706974,-100.06258818590698,-100.06259627881877,-100.06265544528803,-100.06236097725208,-100.06242162417323,-100.06243821671309
3,-100.0573184431192,-100.07504196157196,-100.06886048791564,-100.0592417581732,-100.062904215233,-100.05994988476752,-100.06300489631174,-100.06244880346165,-100.06279415934124,-100.06259063372234,-100.0625065075033,-100.06255877690373,-100.06250472420166,-100.06252339998045,-100.062516255684,-100.06249883989375,-100.06250029991006,-100.06248855706788,-100.0624895537664,-100.06248798322366,-100.06248236866212,-100.06248172169707,-100.0624770099958,-100.06247541774319
4,-100.05259721899704,-100.06796439928678,-100.05903160619697,-100.06283014519849,-100.06210984518994,-100.06239740288808,-100.06280011097657,-100.06271480955165,-100.0626789232392,-100.06241220006083,-100.06253521140081,-100.06252788778632,-100.06251679019039,-100.06251797293571,-100.06252734547228,-100.06250018045688,-100.06249901143971,-100.0624894827078,-100.06248894975235,-100.06249020179438,-100.06248163559985,-100.06248246627773,-100.06247446174594,-100.06247124013966
5,-100.06229578349351,-100.06400158753574,-100.0628401651045,-100.0620797348283,-100.06249926239101,-100.0599036435777,-100.06274918211074,-100.06262242169879,-100.06275227342768,-100.06256979829881,-100.06252607940094,-100.06256572952474,-100.0625177681149,-100.06251689058288,-100.0625086534388,-100.06248573148336,-100.06244285250413,-100.06248801575892,-100.06248993162508,-100.0624880578857,-100.06242802401364,-100.06251192027804,-100.06247275193557,-100.06247522893767
6,-100.06154703888762,-100.06373342433105,-100.06011326509797,-100.06237834396372,-100.06204779168881,-100.06297922475062,-100.06271641550286,-100.06292386243014,-100.06245582750748,-100.06245920021473,-100.06251203936195,-100.06251520277722,-100.06250681465242,-100.06253062516991,-100.06255962511153,-100.06246652258562,-100.06247968219441,-100.06248249248993,-100.06249027147093,-100.06253473604404,-100.06246153618015,-100.06242081713157,-100.06246597955008,-100.0624654489677
7,-100.06323972947828,-100.06320917924856,-100.06292686714039,-100.06276918452541,-100.06273891262904,-100.06271104343155,-100.06266184321532,-100.06256241810028,-100.06260314490545,-100.06253937042717,-100.06251650901154,-100.06251303141303,-100.06251978213854,-100.06252992505674,-100.06251747043851,-100.06249198123518,-100.06248291004472,-100.0624807305094,-100.0624939565725,-100.06249263990023,-100.06250316934413,-100.06247495556929,-100.06246548934598,-100.06246602265789
8,-100.0632038455793,-100.06324634831904,-100.06240811017481,-100.06272674854615,-100.06277389706035,-100.06280491142736,-100.06253149191623,-100.06259545633475,-100.06258011107728,-100.06245801623322,-100.06245075029697,-100.06243357718995,-100.06244362713265,-100.06243519050237,-100.06241106669162,-100.06240260811921,-100.06244535831102,-100.06243428472118,-100.06242782115105,-100.06243459438635,-100.06243333819688,-100.06242354958418,-100.06243538540888,-100.06242925271481
9,-100.06316344446016,-100.063605847803,-100.06280788041511,-100.06269024897728,-100.06281375922913,-100.06283468949232,-100.06261205679971,-100.06257565579038,-100.06266081771393,-100.06245092461906,-100.06247293190552,-100.06244074693947,-100.06243958738871,-100.06244608384526,-100.06244995179102,-100.0624548878729,-100.06243521728992,-100.06242303176627,-100.06241050443549,-100.06242169890129,-100.06242206247916,-100.06242023847136,-100.06242980043584,-100.06243587774763
