,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-99.98643767902642,-99.98847730616902,-100.03625503325502,-100.03908443771559,-100.05488234661581,-100.04645528026427,-100.04316938633742,-100.03452377212214,-100.03037542727805,-100.02875771881776,-100.02915132253415,-100.03098552403037,-100.03287826630344,-100.03628941877656,-100.033956826928,-100.03294708342708,-100.03120081728078,-100.03047993240045,-100.03030806986382,-100.03079387002029,-100.03191456105554,-100.03157519383576,-100.03371433397874,-100.0347518751462
1,-99.98849674327253,-99.98630837894649,-100.03930350894449,-100.03533505780244,-100.04952600067244,-100.04032796728507,-100.04880197703848,-100.02504327567368,-100.0275074254137,-100.02907009796316,-100.02862449147774,-100.03187131430656,-100.03641365154974,-100.03386203257904,-100.03478383950547,-100.04152844895897,-100.0293620671111,-100.03024473364557,-100.03043114536767,-100.02962364413267,-100.02976830301938,-100.0343871890233,-100.02825154420088,-100.03317487570283
2,-99.98279434145627,-100.06839801007992,-100.08167674438451,-100.0537640200414,-100.04706942327574,-100.05343253969028,-100.0777040674618,-100.02793060746917,-100.01867939343988,-100.03285110359425,-100.0310301135296,-100.03380259992097,-100.03114512396667,-100.03232036714378,-100.03037455265388,-100.03273356257553,-100.03083205054129,-100.03226920906246,-100.03118571353798,-100.03211073534293,-100.03128386402933,-100.03143436284681,-100.03158953764836,-100.03251676733706
3,-100.03894779514599,-100.05472245635842,-100.04570963806556,-100.02419311958684,-100.04204602949314,-100.03264277873451,-100.04038702427584,-100.03175457173218,-100.03432598808506,-100.03010795399946,-100.03169302744733,-100.03208661156253,-100.03196029049822,-100.03170903052525,-100.03174670938952,-100.0318414418936,-100.03176018252987,-100.03205356092111,-100.03186680070965,-100.03212469599539,-100.03200417441549,-100.03233690057766,-100.03168847263532,-100.03227868748097
4,-100.03216944691884,-100.05617396449526,-100.0240584544501,-100.0616571552257,-100.0395062581626,-100.03805445251696,-100.03692367217828,-100.03300804964096,-100.03248072721885,-100.03208093221788,-100.03198065936232,-100.0319979620126,-100.03215372854125,-100.03174370450739,-100.03167765296647,-100.03179887871363,-100.0318176523849,-100.03192932828414,-100.03193301722604,-100.03230215526224,-100.03176575708004,-100.0320782524209,-100.03249384116843,-100.0322814978488
5,-100.04839574699655,-100.04626215112624,-100.04182998187592,-100.0394158762353,-100.0386080761026,-100.04173164489642,-100.03872673088189,-100.03174458355294,-100.03155346608823,-100.03193463611063,-100.03199461558063,-100.03198201515164,-100.03188422956327,-100.03180737674995,-100.03178934643692,-100.0318496703283,-100.03177881960522,-100.03194446960673,-100.03191933147814,-100.03226424871974,-100.032094975632,-100.03180812660631,-100.03284135362361,-100.0321156952893
6,-100.04054460894329,-100.05563587720688,-100.03146470268035,-100.03815351106431,-100.04350268616882,-100.04255063292476,-100.04170264693997,-100.03157468674011,-100.03170179091937,-100.03207780779961,-100.03195338085291,-100.03216898266624,-100.0317162949563,-100.03176868828146,-100.03180137972402,-100.0317561604548,-100.03170883279233,-100.03210270465037,-100.03180387802034,-100.03171074826751,-100.03230624407634,-100.03212480498073,-100.03236857293345,-100.03193401005133
7,-100.0501581187737,-100.06637312630559,-100.0407861818946,-100.03695277247354,-100.04342562370063,-100.0414683866401,-100.03563676861934,-100.03204066733322,-100.03237235428467,-100.03180822542474,-100.03185757157559,-100.03188976510157,-100.03177888409435,-100.03170009007732,-100.03183616454812,-100.0319138712063,-100.0320206565673,-100.03252573002797,-100.03174533811948,-100.03186029724606,-100.03198640774208,-100.03198875967972,-100.03191179017873,-100.03192296240529
8,-100.03461372872208,-100.02782824160441,-100.02360043365968,-100.03277580840216,-100.0258624769917,-100.0312467498104,-100.03103639418946,-100.03221924679904,-100.03206813010681,-100.03186275603471,-100.03182683312926,-100.03163455329637,-100.03257640296404,-100.03188387747979,-100.03186479675126,-100.03198764493716,-100.03189263970732,-100.03168959873067,-100.03164071565676,-100.03202250308874,-100.03181186602401,-100.03150184289896,-100.03235554931281,-100.03120664869273
9,-100.02091121271243,-100.02491826094786,-100.02737929406373,-100.03097133694224,-100.02946181466503,-100.03105119725066,-100.03122614091374,-100.03168072955901,-100.03135261855604,-100.03162660239738,-100.03173323957185,-100.03176716956803,-100.03181661103173,-100.0318611931176,-100.03187551812707,-100.03182464138116,-100.03176549303555,-100.0316641974957,-100.03167575358384,-100.03212615205295,-100.03149630895588,-100.03191748830095,-100.03177963617821,-100.03200046819352
