,0,1,2,3,4,5,6,7,8,9,10
0,2.178495767995645e-09,3.2120805673647058e-09,4.320538437693126e-09,3.622162327787382e-08,8.850641819435623e-08,4.3207386113408575e-08,7.860652573299376e-08,1.7980221755919956e-08,5.985134343688969e-08,7.19948971550366e-08,1.7196052759516078e-07
1,2.0491790522214615e-05,1.5309541590013964e-05,1.2720332822624414e-06,2.2032667779114945e-07,3.022823413800779e-07,1.0316235794505246e-06,4.888756368615077e-07,4.2322162308039424e-07,4.594149363157385e-07,5.051633191754945e-07,8.406217055778598e-08
2,1.9322627904827527e-05,6.703085499552445e-09,1.2539337286930884e-09,9.237504094983251e-08,7.567768172123124e-07,1.2130062039261702e-05,2.560336668011587e-06,2.9007559021465568e-08,4.666288688781606e-09,5.088577736955813e-08,9.566401715233042e-08
3,9.095136022096995e-07,3.947901997969442e-10,3.544846197911511e-06,2.686926734440931e-07,3.3461594739492284e-07,2.817855010661674e-06,3.0268358486296165e-08,3.492427804729914e-07,1.4932615126639348e-06,2.4017317912239378e-08,8.151614068196977e-07
4,3.220578452811651e-07,3.056467736683999e-07,3.2534026335184763e-06,1.7006399630759006e-06,5.023729343633931e-07,2.003136001960115e-06,1.0440044386673856e-10,2.4755542561347415e-09,1.409320257203863e-10,2.381677397522708e-07,8.912762510249195e-07
5,2.602969040310654e-07,1.1605984031604066e-06,3.2266546234893667e-07,2.613007344720586e-06,7.91132478639156e-07,1.0893064757766524e-05,3.1635639803765704e-08,1.97894918347641e-10,1.0546777236766785e-10,1.5648450730765262e-06,1.286856168914315e-10
6,9.978847739233743e-07,1.4494622391225676e-06,9.398936384741319e-08,1.7695161638187074e-06,8.143933392545932e-06,5.048558411231487e-08,6.62394320961106e-08,2.151719095858255e-08,1.144303845230634e-09,4.9636687649012856e-08,1.0743077535539169e-10
7,6.88489963707184e-07,6.352837740308814e-07,5.747434954628261e-07,5.541191548249755e-08,5.677815362428772e-09,7.990587978546277e-08,6.013058495568657e-09,2.598048336466263e-07,2.866586470418042e-07,2.52986636084529e-07,7.960705694642911e-08
8,2.269312719960226e-06,2.8311231761915744e-05,6.956438198812975e-07,7.281874382675951e-09,1.8133259582550755e-10,1.710740605910531e-09,9.408179018066676e-07,1.1207170420301517e-08,1.0027746640427285e-10,1.2336135668533643e-07,3.0009626783567e-08
9,7.355354725291363e-08,7.189082622300765e-10,1.6911137912245522e-07,1.382950599531598e-10,1.1216533126190268e-08,6.001362939860063e-08,3.132465309363397e-07,1.0021293754324409e-10,1.088635084300904e-07,2.3747775301785623e-08,8.981349886028056e-08
10,2.106274651580975e-06,2.034218513266682e-09,1.011387809057851e-07,5.121546688968692e-07,4.9165725712896347e-08,2.035520172320209e-08,2.556193121531571e-09,2.993525072270131e-08,1.8232422219635613e-09,6.924513762385232e-08,7.176668326280833e-08
