,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,2.24E-09,3.61E-09,5.57E-08,2.07E-05,1.02E-05,0.000144169,5.04E-05,4.90E-06,0.000269519,8.56E-05,0.000188487,0.002728748,3.29E-08,1.05E-09,3.83E-10,3.19E-10,2.98E-10,3.24E-10,7.26E-08
2,6.62E-06,0.001370324,0.001254799,0.002291272,0.001458583,0.000278916,1.32E-05,0.001029813,0.000943853,0.001147376,6.51E-05,1.17E-07,3.32E-08,2.14E-10,1.86E-10,2.95E-10,3.13E-10,8.75E-08,4.29E-06
3,0.00016656,9.36E-05,0.003258145,0.000240443,6.46E-05,0.000259051,0.000113371,1.52E-08,0.000141197,9.55E-11,0.000284998,2.27E-10,2.55E-05,4.79E-08,5.98E-07,4.27E-05,3.29E-05,7.92E-09,1.04E-07
4,0.000429628,0.000486233,0.000491084,1.09E-07,2.54E-09,7.40E-09,0.000122313,3.17E-06,5.40E-05,0.000402886,7.70E-08,4.58E-08,4.72E-08,1.15E-07,4.82E-05,4.40E-05,1.87E-05,1.12E-07,9.82E-08
5,0.000558314,0.000492448,1.64E-08,1.28E-06,0.000367308,3.73E-05,0.000235047,4.74E-05,9.21E-05,6.68E-09,1.35E-09,2.96E-08,1.00E-07,0.000137928,2.67E-05,0.000174907,0.000667963,2.83E-08,1.02E-07
6,0.00010088,0.005517931,2.29E-09,6.35E-06,0.000384927,0.000361362,3.96E-05,0.000132608,0.000124589,1.66E-08,0.000230227,3.68E-08,6.59E-08,1.98E-05,3.14E-09,2.32E-06,2.09E-10,1.65E-08,8.80E-05
7,4.57E-06,0.004932869,3.37E-09,0.000150116,1.62E-05,0.000245233,2.18E-08,8.15E-09,3.25E-06,3.21E-10,0.000266856,6.90E-08,4.16E-08,4.02E-06,6.78E-10,2.74E-06,1.76E-08,1.13E-09,8.00E-08
8,0.000527861,6.26E-08,9.01E-08,8.13E-05,3.19E-05,8.75E-09,9.10E-09,3.28E-09,3.08E-05,8.63E-06,5.01E-06,5.26E-10,4.71E-10,3.63E-10,8.82E-06,2.08E-06,1.15E-05,9.07E-10,1.62E-09
9,0.000138298,1.39E-08,8.25E-08,0.000693076,0.000337935,3.60E-09,3.33E-06,6.59E-05,2.14E-05,3.66E-05,6.98E-10,6.57E-10,6.12E-10,3.54E-06,1.17E-05,7.39E-08,1.49E-05,1.50E-09,1.30E-09
10,1.20E-05,1.57E-08,4.69E-09,9.51E-05,1.54E-05,1.07E-09,2.33E-09,1.69E-05,9.70E-10,1.99E-08,6.02E-06,2.58E-10,9.66E-07,2.92E-06,2.83E-10,1.82E-10,8.19E-07,4.28E-08,9.74E-11
11,7.35E-06,7.58E-09,4.94E-09,2.56E-05,0.000155205,9.12E-10,6.98E-06,4.66E-06,8.31E-08,5.21E-10,6.22E-07,1.11E-07,4.42E-06,1.09E-07,1.97E-10,2.90E-10,9.09E-08,1.22E-09,1.86E-10
12,2.17E-05,1.16E-08,1.12E-08,3.40E-06,2.35E-10,1.56E-10,1.05E-07,1.47E-07,2.81E-10,2.10E-10,2.76E-07,3.33E-07,8.85E-08,1.66E-09,6.43E-08,2.42E-10,2.47E-10,2.25E-10,1.65E-10
13,6.65E-06,1.13E-08,1.15E-08,4.34E-06,0.000469551,1.37E-10,3.01E-06,4.52E-06,2.09E-10,2.51E-10,1.17E-07,3.31E-08,7.47E-07,1.01E-07,2.03E-10,2.46E-10,2.43E-10,2.54E-10,8.26E-11
14,2.05E-07,1.18E-09,1.16E-09,9.61E-08,5.52E-09,2.03E-09,2.75E-09,3.89E-09,4.36E-09,3.33E-09,5.10E-09,9.10E-08,2.98E-08,2.17E-10,2.37E-10,2.35E-10,2.49E-10,2.39E-10,1.56E-10
15,2.33E-09,1.16E-09,1.18E-09,1.14E-09,1.41E-08,2.96E-09,2.85E-09,3.18E-09,3.34E-09,4.02E-09,1.95E-09,3.17E-08,4.90E-08,2.58E-10,2.35E-10,2.37E-10,1.83E-10,1.17E-07,1.51E-09
16,2.29E-09,9.47E-10,1.22E-09,1.31E-09,1.75E-09,3.08E-09,3.20E-09,9.02E-10,3.78E-09,2.09E-09,5.83E-09,3.52E-08,4.29E-07,1.84E-10,1.16E-07,2.08E-10,8.59E-08,8.33E-08,2.65E-07
17,7.26E-08,2.36E-09,3.59E-06,3.39E-07,6.25E-08,2.34E-08,1.96E-05,1.76E-07,9.70E-10,8.57E-10,1.81E-06,1.98E-07,1.08E-08,1.76E-06,1.32E-06,3.54E-08,9.12E-08,1.64E-06,1.36E-08
18,2.61E-06,7.20E-09,4.63E-07,5.57E-06,7.91E-10,3.06E-06,9.02E-08,2.35E-06,8.15E-10,9.68E-10,8.78E-06,9.54E-08,8.65E-09,8.63E-08,5.72E-07,8.77E-08,2.64E-08,2.65E-06,8.25E-06
19,3.04E-06,3.59E-08,1.78E-06,3.39E-06,2.08E-09,8.02E-08,2.16E-06,9.62E-07,5.54E-05,1.73E-08,2.69E-06,2.11E-07,9.70E-06,2.93E-08,7.89E-09,8.13E-09,1.46E-06,1.73E-06,1.82E-08
