,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-7.895525021,-7.905642981,-7.916499243,-7.924033542,-7.930358376,-7.941515116,-7.944917051,-7.934982575,-7.907406392,-7.941294688,-7.941254441,-7.934281422,-7.932092207,-7.931143806,-7.931063783,-7.93163967,-7.933486917,-7.937049466,-7.940922586,-7.937916774,-7.933288257,-7.940374085,-7.937670539,-7.936907634
2,-7.914889715,-7.908303043,-7.918804982,-7.841918449,-7.905732838,-7.922205416,-7.926376007,-7.949763858,-7.934606939,-7.926525739,-7.907298509,-7.928501881,-7.930016956,-7.93105541,-7.931133186,-7.930488608,-7.925479986,-7.9265557,-7.935554151,-7.939600235,-7.940059306,-7.928057878,-7.936445013,-7.926031391
3,-7.877453415,-7.931796927,-7.925408849,-7.920130486,-7.951204292,-7.944808349,-7.9494872,-7.94390604,-7.936495325,-7.916240015,-7.939749278,-7.931004343,-7.923043016,-7.932892401,-7.924165972,-7.933167719,-7.937729219,-7.933051616,-7.938065985,-7.933470098,-7.934695424,-7.934232109,-7.935907389,-7.934859489
4,-7.927223991,-7.927798766,-7.941131186,-7.916121212,-7.933345892,-7.933584905,-7.933789447,-7.9374847,-7.933547531,-7.938516663,-7.936968221,-7.937923083,-7.938959209,-7.935795218,-7.939367145,-7.938726096,-7.9381517,-7.938014381,-7.938621923,-7.938542367,-7.939537328,-7.939220057,-7.938331053,-7.938239515
5,-7.918017651,-7.935114302,-7.915934602,-7.922330624,-7.933590164,-7.93333682,-7.940586113,-7.935446148,-7.940363888,-7.935535825,-7.937483237,-7.94002532,-7.937257948,-7.940894835,-7.938561562,-7.937842324,-7.937951015,-7.938116775,-7.938061312,-7.939793224,-7.940076288,-7.938432651,-7.938210831,-7.938297612
6,-7.957953592,-7.917331958,-7.932105813,-7.932944342,-7.94875207,-7.938877781,-7.943014628,-7.939479588,-7.937756455,-7.939185285,-7.938015236,-7.936118916,-7.937812189,-7.939814814,-7.939745753,-7.937964423,-7.93782815,-7.938418413,-7.938874911,-7.939071293,-7.937283422,-7.939717293,-7.938547103,-7.938590946
7,-7.917488786,-7.921687224,-7.932863031,-7.931971274,-7.943200754,-7.929162532,-7.940953869,-7.93135957,-7.937353346,-7.937584732,-7.938500349,-7.939257153,-7.9383769,-7.939420847,-7.939611386,-7.938634596,-7.939533313,-7.938664149,-7.938916413,-7.938974984,-7.938629876,-7.938743457,-7.938584087,-7.93852452
8,-7.934901126,-7.942141086,-7.93841339,-7.938990611,-7.941031918,-7.940444478,-7.938377843,-7.939031173,-7.939920438,-7.939517674,-7.939285412,-7.93915453,-7.939072634,-7.939029803,-7.938969889,-7.938899313,-7.938849595,-7.938802131,-7.938770104,-7.938738477,-7.938701608,-7.938678336,-7.938645023,-7.938624661
9,-7.945905564,-7.942088591,-7.938894188,-7.938208885,-7.942035478,-7.890313271,-7.938938818,-7.943178337,-7.939618929,-7.938200258,-7.938716917,-7.938928091,-7.938963764,-7.9392205,-7.938913588,-7.938260741,-7.938477415,-7.938315135,-7.93860176,-7.938878452,-7.941190187,-7.938093962,-7.937869639,-7.937719461
10,-7.943827556,-7.942664061,-7.940425804,-7.940331104,-7.940365007,-7.939860192,-7.939550756,-7.939504286,-7.93941071,-7.938730474,-7.939812532,-7.938981555,-7.938933173,-7.939584802,-7.939131312,-7.938506489,-7.938404967,-7.938564796,-7.938803948,-7.938632284,-7.938425877,-7.937955007,-7.938256595,-7.938422719
11,-7.943177477,-7.945267106,-7.94031915,-7.940355485,-7.940333498,-7.938713407,-7.93948999,-7.9395963,-7.939656262,-7.938957271,-7.938989269,-7.937432682,-7.938823874,-7.940084427,-7.939855898,-7.938240455,-7.938848132,-7.937631711,-7.93797315,-7.937812719,-7.936427599,-7.937006898,-7.937600434,-7.936411812
12,-7.943197132,-7.942030095,-7.940374307,-7.940324194,-7.940412908,-7.939676732,-7.939364506,-7.93965041,-7.939586635,-7.938984085,-7.938959164,-7.938829876,-7.9387217,-7.939654964,-7.938933684,-7.937717728,-7.938696781,-7.937995648,-7.937733439,-7.933615229,-7.937101072,-7.936651476,-7.935771532,-7.936661223
13,-7.946192009,-7.93253233,-7.939481258,-7.940855306,-7.941387353,-7.937982137,-7.938179322,-7.940411178,-7.935347495,-7.937616734,-7.936309373,-7.943215348,-7.93332222,-7.93668136,-7.935130124,-7.936477899,-7.935632292,-7.93485982,-7.934544494,-7.932198378,-7.936004744,-7.929461288,-7.933855619,-7.933408672
14,-7.945047518,-7.941601851,-7.938664362,-7.950757106,-7.939009084,-7.938194686,-7.938007832,-7.939902315,-7.942099755,-7.937015565,-7.93877935,-7.934674875,-7.937559905,-7.9360836,-7.935096556,-7.93410335,-7.936802792,-7.934598294,-7.935023089,-7.933127136,-7.934821391,-7.934741904,-7.933586908,-7.934221427
15,-7.941293181,-7.93318616,-7.93640191,-7.921430939,-7.935401689,-7.935291334,-7.934283283,-7.931662626,-7.929667825,-7.934540017,-7.92983616,-7.936747214,-7.933270751,-7.933597492,-7.933848654,-7.929017306,-7.933314107,-7.932353052,-7.932439952,-7.932657256,-7.932633206,-7.929218424,-7.931568276,-7.932129176
16,-7.932395529,-7.937422257,-7.935220407,-7.926655189,-7.943867023,-7.934583988,-7.935841018,-7.91811374,-7.936986854,-7.933701293,-7.930610057,-7.932740267,-7.933644447,-7.933339033,-7.934698849,-7.933257289,-7.932824607,-7.934270138,-7.933444432,-7.932633464,-7.932657942,-7.928766479,-7.93231601,-7.93195734
17,-7.923039858,-7.932182092,-7.932067948,-7.925152947,-7.923369534,-7.932360751,-7.93072207,-7.92434511,-7.931266961,-7.931961119,-7.930860415,-7.930727393,-7.931724007,-7.931688633,-7.93101234,-7.931515656,-7.931758986,-7.931629639,-7.931500841,-7.931745908,-7.931769081,-7.931714247,-7.931763373,-7.931823444
18,-7.896969461,-7.932071023,-7.932189347,-7.917293902,-7.923801572,-7.931637341,-7.929365046,-7.930699987,-7.932534118,-7.931622581,-7.93104049,-7.930206657,-7.931690811,-7.931727548,-7.931300842,-7.932269081,-7.931684996,-7.931338415,-7.931597835,-7.931773148,-7.931753384,-7.931740628,-7.93160183,-7.931812266
19,-7.915852987,-7.930393997,-7.929213201,-7.929858681,-7.929511607,-7.930961899,-7.930512907,-7.930940658,-7.930972679,-7.931263804,-7.931182522,-7.931382268,-7.931398004,-7.931486755,-7.931494371,-7.931590446,-7.931613452,-7.931645671,-7.931663593,-7.931722228,-7.931742473,-7.931749788,-7.931774542,-7.931816455
20,-7.925557077,-7.929803733,-7.929717083,-7.929645511,-7.929806573,-7.930747926,-7.930752748,-7.930975026,-7.930937747,-7.931210649,-7.93123733,-7.931399237,-7.931380083,-7.931495414,-7.931485679,-7.931622518,-7.931575638,-7.93168301,-7.931620391,-7.931802626,-7.931489457,-7.931828402,-7.931672876,-7.932095316
21,-7.926448234,-7.929730043,-7.929702877,-7.929710068,-7.929163252,-7.930752889,-7.930747709,-7.930522015,-7.931476778,-7.931278099,-7.931159068,-7.93901909,-7.931578778,-7.931770238,-7.931206291,-7.932096341,-7.931823853,-7.932009418,-7.931736725,-7.932188484,-7.931978623,-7.9325872,-7.931543205,-7.932209105
22,-7.926293402,-7.92966077,-7.929722958,-7.929784837,-7.93025732,-7.93088391,-7.930645069,-7.930824401,-7.931241049,-7.931366848,-7.930904168,-7.931380189,-7.931670834,-7.931503343,-7.930818418,-7.931750085,-7.931938964,-7.931392307,-7.931199618,-7.931892092,-7.932081794,-7.931737568,-7.931246766,-7.931889222
23,-7.924688043,-7.930434217,-7.933533651,-7.927942187,-7.933412954,-7.931486006,-7.928732916,-7.925816953,-7.932139291,-7.932799821,-7.931141229,-7.934476051,-7.932660613,-7.929675473,-7.930835364,-7.933251758,-7.935673081,-7.928190319,-7.933882372,-7.935751555,-7.934170453,-7.933763005,-7.931162717,-7.932029851
24,-7.923120516,-7.931059481,-7.929891972,-7.927878836,-7.931060707,-7.932012419,-7.931159781,-7.930864327,-7.932539015,-7.931829879,-7.934485408,-7.932199023,-7.933191411,-7.930070714,-7.935305768,-7.93398889,-7.932733948,-7.935027024,-7.937258985,-7.935213158,-7.930662236,-7.934431927,-7.933137069,-7.933577704
