,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.9489033763770264e-09,4.491980585098006e-09,2.5351454307961783e-08,7.84315167297697e-08,8.167006804171706e-08,8.058362421792253e-08,3.685872407288571e-08,8.816855245896704e-08,1.2852408026731155e-07,1.1724628201648102e-07,4.519403001921468e-08,4.473595414111742e-07,1.1204284877663895e-07,9.043258586416414e-08,3.333729559074072e-08,2.9127002670166725e-10,2.7539601737985213e-09,8.724478242284966e-09,3.405363172249248e-09,1.7488462069358882e-09,1.213892264403791e-08,2.661192456637995e-08,1.8620644070918572e-09,5.90996028304341e-10
1,2.9086034320613408e-05,5.958902422875667e-05,7.17546084771925e-08,1.096573498671205e-08,1.1297031043966399e-07,6.69100179706561e-08,9.790286892297217e-08,3.946417730382734e-06,4.404001969326998e-06,1.503561630755712e-08,1.2595095366663145e-07,1.8066667628602318e-07,1.0705180919501345e-07,8.433103904081918e-08,2.7371403179543563e-06,8.49721853298137e-10,1.0004434550562629e-09,1.84834034601777e-10,5.501513443416638e-10,2.467984866690346e-08,2.4073858785148027e-08,9.513112359438216e-09,5.393580582913662e-08,2.6749939152637126e-08
2,2.0146521624297975e-06,1.4464540629057637e-08,1.2840599866073828e-10,2.478651889653246e-08,5.81178829506257e-08,3.736773468432375e-08,2.1527665072795799e-07,1.4206703342622973e-06,3.521105949033654e-07,6.206362535010612e-09,2.8952158537265404e-07,9.412856538659753e-08,6.231798987954562e-08,1.5089884453090008e-07,8.528848205457962e-08,1.7113662546029223e-09,3.4288226724401736e-09,3.4244022280414333e-09,1.722533659450614e-09,6.525175803705531e-08,3.686009675261472e-09,8.063125339524886e-09,8.27975673920251e-09,9.997354353634608e-11
3,8.768866326391844e-07,1.3109631612933926e-10,1.0539966854850036e-07,1.8713495588684737e-06,1.529318272019964e-08,1.1787260678630673e-07,7.004834241541857e-07,8.550629715387004e-08,1.401697637959387e-07,1.1066244222021626e-07,8.786442862174226e-08,1.8661740242009728e-07,5.4260840746082595e-08,3.2740492095229e-08,2.9919213766165067e-09,3.90404148101881e-09,3.4251375390012235e-09,3.429065576771119e-09,2.8877652171724585e-09,1.067660768683254e-07,8.870162204743792e-08,1.0387067383987869e-07,7.322817056310952e-09,1.1232634799445367e-08
4,1.5127344354937122e-07,5.3437545124756434e-08,1.2326176612731388e-06,1.0973655992785325e-06,8.81591954993155e-08,3.674059909641869e-07,1.1608261907269934e-08,8.914691296268984e-08,1.1440797198503105e-07,1.8421092651266235e-07,9.290446190135526e-08,1.0362220326243232e-07,1.2994703091351312e-08,2.9073160057180303e-07,2.3720521854295077e-09,1.2879251742518958e-08,4.949225203724019e-10,1.9146491333478657e-09,3.2173867675284154e-09,9.221390802168382e-08,1.1638103458722071e-07,8.611006130365695e-08,6.278592492774442e-09,5.169961035583169e-10
5,5.377864464861659e-08,1.1784387865532153e-07,6.157672860496177e-08,1.0559546659294483e-07,8.031357534576955e-08,7.592595174799044e-08,2.899531006406164e-07,7.938617319069863e-08,4.025964591137812e-08,2.1358130242607673e-08,7.120266687365984e-08,1.0119628868210384e-07,4.8555502729641375e-08,6.280796416291423e-08,2.364534828784799e-09,5.936764840174706e-10,1.6809947628254683e-08,6.508143284407681e-09,3.0348500809528567e-09,9.33823995907801e-08,6.005529407104859e-08,9.299250880445697e-08,1.901710815122075e-08,3.9145892033536156e-09
6,2.7494955645579466e-08,9.540248235850868e-08,9.8490308353405e-08,1.5015424859043947e-06,2.420968403527013e-08,7.331088802686736e-08,1.0838510355881681e-07,1.408966268101608e-07,1.1184347263187374e-07,4.4310167846827305e-08,7.144670277625664e-08,6.719104028718448e-08,2.1296282927524342e-10,7.603308826986677e-08,2.450811820153831e-08,2.0434924481538283e-09,6.462751325064927e-09,1.605959915858344e-08,4.3624920070712504e-10,6.70655788681529e-08,9.38823330187688e-08,7.243612643037523e-08,1.5145235376416306e-09,1.6307024530703984e-07
7,1.509695290568408e-08,4.0312596549796353e-07,4.406832019299145e-07,1.6254629642276086e-08,2.7162705862338044e-08,1.3968921397378153e-07,1.3182775697728744e-06,9.757686388763479e-11,2.848694196089241e-07,5.036368300181948e-08,4.0890313357522245e-09,1.2829258277946565e-07,6.257845670121139e-08,4.272582298449739e-08,9.838503267029328e-08,1.0768237527269734e-07,7.456684425477533e-08,8.710340981821219e-08,2.685244175001662e-08,4.5322372521638954e-08,7.331826346046455e-08,7.853921513145679e-08,2.1153622038923292e-08,9.221569463591095e-08
8,5.797879794045002e-07,1.1410553391044687e-07,1.5533253883148745e-07,1.526849651156681e-07,2.7280955450237343e-07,8.291367148416384e-08,1.226180838523421e-10,1.0674862682691355e-07,1.0668897409971123e-07,8.01190767063531e-08,1.0043368625645144e-07,1.060108232309176e-07,9.493478981480294e-08,3.853883472099718e-09,1.0347938832985636e-07,8.396980000213716e-08,4.980826910314846e-09,1.0417405871265828e-07,8.688197361550465e-08,6.92298396387514e-08,1.8785060529324937e-07,4.243521090074864e-09,9.39908657571209e-08,9.450453131165659e-08
9,1.9302238918328385e-08,9.602718176182634e-08,9.224300523413831e-08,8.542948126688543e-08,1.1569077832275917e-10,6.360400578423894e-08,1.4196209718875252e-07,1.0729423483013534e-07,7.969932545539058e-08,1.409286048325362e-10,2.899640429987471e-07,4.587861823779349e-08,7.611071821207092e-09,9.422613112108665e-10,1.555162633032334e-08,6.750782567329283e-09,5.152452420276177e-08,1.1184010961784452e-07,4.4194187532924035e-08,5.5007584265354126e-08,6.490737458619833e-08,8.861760836254007e-08,7.743300756146709e-08,3.895587319391325e-08
