,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2.7133665282237055e-09,4.132995111602556e-09,8.857023902935152e-10,1.1735147872727847e-07,5.2858036170277956e-08,9.104221732059159e-08,3.054696584570138e-08,7.92948977590413e-08,4.382927798474157e-09,1.2940214233481129e-08,6.822155462771207e-08,5.299063055019815e-08,5.425241944578829e-08,3.501183165610655e-08,1.6222239551666462e-08,9.369440748891863e-10,3.93778161303482e-08,1.1915600811483177e-09,2.8832925540365883e-10,5.496528412832312e-10,6.183383005635743e-10,6.308989494804189e-10,5.795028546685416e-10,3.228564031196318e-10
1,3.436212791640969e-05,2.566552641525277e-07,1.482440428191012e-06,2.260169011947255e-07,3.711157248176278e-08,9.343358620128583e-08,9.424653235612368e-08,1.0289235794047613e-05,6.149550202394494e-08,2.388403945730033e-07,5.186525378064744e-07,3.591069841490935e-08,1.3037516612968147e-06,6.674691732655447e-07,1.0099606676305939e-05,1.049182487544342e-08,2.8669740443043297e-10,6.202116608764792e-10,7.089564527108761e-10,6.911062161737965e-10,6.361552257292111e-10,6.211341092971602e-10,6.402762655825548e-10,1.9201139923512573e-08
2,5.3690101964321e-07,6.628894321837348e-08,8.837608186883285e-08,9.704566750201593e-08,7.420470815588942e-08,9.217791525628627e-07,6.238277663328518e-07,1.1399892230201658e-07,1.3487953864910196e-07,2.0417858870303007e-07,3.950991001033799e-08,2.8229463744366967e-07,8.857290900721182e-08,5.762266983566633e-07,2.638036156266248e-09,1.395046285844531e-09,2.8053376778690154e-10,9.569017632286835e-11,8.063586420803404e-08,2.1366821201240782e-08,1.1558544521506064e-07,9.016483204504766e-08,1.0615770484889708e-07,3.702854141248928e-09
3,2.2291970385168725e-06,1.0137678569969788e-07,3.7590773160900426e-07,7.039216622928279e-07,1.9135612205900543e-07,1.5103518968828666e-07,2.1849762887882207e-08,1.4131780723403153e-07,1.0776155257019582e-07,4.378066389421065e-07,9.024346958597107e-08,2.772383567162251e-08,9.557686198036208e-09,7.266239177885337e-10,8.306206287096154e-09,2.652326305293181e-09,1.3166307154060049e-10,3.848063996963959e-10,4.1834988550136504e-10,1.4996535000477706e-06,2.863922272666741e-07,2.924231097267693e-07,1.067149550531635e-10,8.067022238007777e-09
4,4.437827527681293e-08,5.358553067935645e-08,9.924830806085083e-07,1.958205864127649e-08,4.002674991454569e-07,1.388785175748808e-07,2.977027548922706e-07,8.191322695694225e-07,2.016436191354387e-07,3.4799550352460074e-06,1.1288685737836229e-07,9.521970767423227e-09,7.895263465229618e-08,3.640350160904176e-09,7.03475285360588e-10,7.869341895705176e-10,3.366975667181907e-10,4.192881587044451e-10,3.8367851361484736e-10,9.5989385329176e-08,7.911477844560862e-10,4.564435789020273e-10,8.495449854706294e-08,7.950542279744194e-09
5,1.6793654999958108e-07,7.051891337539473e-08,3.98915993571336e-08,1.0496454727615401e-07,2.2192989668212704e-07,2.3437509710788618e-08,1.2857310416336531e-07,1.501818564619839e-06,1.166289198550885e-07,1.846839552399615e-07,3.785146596158029e-08,3.71862096464027e-08,1.0701732122697649e-07,1.928422084381243e-08,7.828270575937097e-10,7.077977301221382e-10,5.688318170268849e-09,1.7025298040106458e-09,2.1456912230487515e-09,2.2766432472565157e-07,1.5102501360474924e-10,7.018231583852036e-10,1.1375152524578598e-10,1.0922097953523813e-09
6,1.2878206945288184e-07,1.9488124127775563e-06,1.988547278841679e-06,4.846224896937201e-07,3.131241577136734e-08,1.415234738288973e-07,7.780595545625602e-08,1.6670735369928025e-07,2.740841384962778e-07,9.748809581822115e-08,3.195336226724521e-07,3.0936157550212876e-10,4.8244659822671565e-08,1.0948402055978186e-09,2.6684463055231804e-10,1.538923211086285e-07,1.2886768459094326e-09,1.1746039675460138e-09,2.256899998698237e-08,8.321955569101647e-08,1.6758067807685807e-08,2.299105907036758e-09,5.567593674982163e-08,3.4755007760622902e-09
7,5.03943200058643e-07,2.94408787127054e-07,4.558366839546579e-08,6.333464064312011e-08,3.997306698977354e-07,1.8109682109468395e-07,1.7096837406451806e-10,4.152858572581408e-07,3.751258166317939e-07,1.8262767498311003e-08,9.940190182078368e-08,1.1071062466783133e-07,1.1701357038873539e-07,9.083711706409743e-10,8.968374310048031e-10,6.638864391561583e-08,2.3068258489375232e-09,8.586404476318421e-08,4.853609267136625e-09,6.712401656727707e-08,4.081937380939204e-10,1.619336747606674e-08,8.497982406652227e-08,2.711668934485602e-08
8,7.612253760669319e-08,2.8076022910994425e-06,2.413443542792493e-07,1.3363819562073331e-07,2.1661861637767288e-07,3.765446976444764e-08,1.2986560982142237e-07,6.302308984065e-08,5.077506436518785e-08,4.9807056257122895e-08,1.1166969571263508e-07,1.1477621164601715e-07,5.812264447513371e-08,3.282385690291262e-08,1.0463461738236287e-07,3.293369132961743e-08,1.101587887575306e-07,4.793728125540079e-08,6.139991839881178e-08,4.824052446394944e-08,9.495132522533477e-08,1.3259939587346216e-08,8.431261022678882e-08,7.544409719173473e-08
9,8.86867699279037e-08,2.2465682452121882e-06,1.8400955426045584e-08,7.055663786559307e-08,2.9142687403674106e-08,8.225109482395965e-09,2.8442580024545805e-07,4.986615435320086e-08,1.0099417620875382e-10,1.0777074166412604e-07,4.946793552562667e-08,4.972906531008903e-08,4.719938218045172e-09,1.1406004352333962e-07,5.049273695756619e-08,1.128657771687358e-07,2.783843022768906e-08,3.163040609083604e-08,6.869856683522357e-08,1.1214723727448472e-07,9.166416796427749e-09,4.9209535209015395e-08,1.0532423999620733e-07,7.679358888609163e-10
