,0,1
0,-32.6081815,-30.89987647
1,-49.11411046,0
2,-49.18853578,-0.04619892
3,-49.19271089,-0.033923376
4,-49.20378622,-0.004958094
5,-49.19239822,-1.10E-15
6,-49.19097749,0
7,-49.23725358,0.302574639
8,-49.19067936,0
9,-49.18655954,0.000193482
10,-49.18898793,0
11,-49.18914383,-1.21E-16
12,-49.18908213,0
13,-49.18914241,4.00E-16
14,-49.18730227,0
15,-49.1891935,7.23E-16
16,-49.18941793,0
17,-49.1896308,1.28E-16
18,-49.18987714,0
19,-49.18936812,5.74E-16
20,-49.19603588,0
21,-49.18576976,5.26E-16
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
