0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-49.1926023,-49.21694445,-49.23668998,-49.2399538,-49.24390733,-49.24472714,-49.24575145,-49.24615552,-49.24650075,-49.24670591,-49.24684199,-49.24694175,-49.24701104,-49.24707302,-49.24712816,-49.24718445,-49.24724189,-49.24730192,-49.24736418,-49.24742833,-49.24749389,-49.24756034,-49.24762729,-49.24769441
-49.22149983,-49.32100057,-49.24060026,-49.22122674,-49.24494162,-49.24062009,-49.24641876,-49.24852586,-49.24700642,-49.24711005,-49.24721575,-49.24716868,-49.24759768,-49.24757307,-49.24441165,-49.24438547,-49.24591114,-49.24562896,-49.24524308,-49.24445327,-49.24255497,-49.23888143,-49.22002226,-49.3165739
-49.31062864,-49.24334719,-49.24521798,-49.24598791,-49.24638404,-49.24685571,-49.2469741,-49.24711908,-49.24708782,-49.24754747,-49.24718007,-49.24720441,-49.24757344,-49.2475967,-49.24438551,-49.24441145,-49.24570915,-49.24844881,-49.24641421,-49.24693335,-49.26175028,-49.2484995,-49.2568459,-49.25266878
-49.24060474,-49.24521105,-49.24623752,-49.24677777,-49.24984551,-49.24700987,-49.2509494,-49.24709383,-49.24710935,-49.24716451,-49.24724348,-49.24710815,-49.2465456,-49.24658781,-49.24602378,-49.24580426,-49.24552246,-49.24645629,-49.24671987,-49.24624633,-49.25074453,-49.25184118,-49.25383435,-49.2549474
-49.21158734,-49.24598407,-49.24677584,-49.24291651,-49.24727964,-49.24715084,-49.24712748,-49.24713369,-49.25369097,-49.24704065,-49.24700995,-49.24689879,-49.24658642,-49.24655001,-49.24556337,-49.24638407,-49.24416532,-49.24690649,-49.24634023,-49.24738462,-49.25241484,-49.24282392,-49.26929837,-49.26726926
-49.24494827,-49.24637971,-49.24975616,-49.24727719,-49.24716035,-49.24711506,-49.24713239,-49.24712632,-49.2470655,-49.24701596,-49.24706179,-49.24788042,-49.25085129,-49.08326383,-49.26222129,-49.26439779,-49.2568773,-49.25796155,-49.25752883,-49.25573103,-49.25579749,-49.27493783,-49.26715213,-49.26937913
-49.23874932,-49.24685027,-49.24700911,-49.24715102,-49.24711469,-49.24713435,-49.24707965,-49.24720565,-49.24680854,-49.24767848,-49.24629663,-49.25535643,-49.24160015,-49.26740091,-49.26416721,-49.26253528,-49.25775918,-49.25764336,-49.25807109,-49.25579463,-49.25572946,-49.26825098,-49.27611721,-49.25327873
-49.24643125,-49.24697079,-49.24959302,-49.24712749,-49.2471324,-49.24707662,-49.24721746,-49.24767045,-49.24234245,-49.2449297,-49.24418188,-49.23507681,-49.53941056,-49.26448181,-49.26892082,-49.25504537,-49.25762202,-49.25777109,-49.25699936,-49.25701605,-49.25711002,-49.25847428,-49.25927297,-49.25986216
-49.2482006,-49.24711731,-49.24709263,-49.24713367,-49.24712635,-49.24720636,-49.2476405,-49.24356851,-49.24519723,-49.24445066,-49.24550722,-49.25074975,-49.25893171,-49.25568347,-49.25742375,-49.25810668,-49.2565916,-49.2520572,-49.25701595,-49.25699541,-49.25700115,-49.26087367,-49.26186488,-49.25937123
-49.24701606,-49.24708679,-49.24710813,-49.24823428,-49.24706502,-49.24680439,-49.24223864,-49.24519249,-49.24457346,-49.24949089,-48.4129641,-49.03902729,-49.25662568,-49.25698416,-49.25866957,-49.2575504,-49.2547083,-49.2561027,-49.25710379,-49.25700114,-49.25699569,-49.26173027,-49.26088838,-49.25898485
-49.24710387,-49.22910527,-49.24716214,-49.24703616,-49.24701318,-49.24768932,-49.24492362,-49.24444522,-49.24921078,-49.08688636,-49.04127734,-48.45925833,-49.25705098,-49.25628357,-49.25720793,-49.25675421,-49.25656696,-49.25799323,-49.25865564,-49.25826662,-49.25910971,-49.25741279,-49.25812286,-49.2587205
-49.24721683,-49.24717936,-49.24725715,-49.24700869,-49.24705209,-49.24628189,-49.2441863,-49.24548482,-46.45266125,-49.04125525,-49.08715123,-49.26131772,-49.25800615,-49.2573279,-49.25695604,-49.25652655,-49.25671895,-49.25874091,-49.25836459,-49.25848655,-49.25834189,-49.25797904,-49.24777898,-49.25873024
-49.247168,-49.24720461,-49.24709981,-49.24690159,-49.24778872,-49.25531908,-49.23500823,-49.25070837,-49.0380625,-47.09110897,-49.26100009,-49.25805472,-49.25003602,-49.25344123,-49.25667896,-49.25684569,-49.25725181,-49.25818976,-49.25849934,-49.2583919,-49.25869223,-49.25820508,-49.25856917,-49.25881953
-49.24757407,-49.24756817,-49.2465618,-49.24658558,-49.25054278,-49.24130892,-49.48670033,-49.25883553,-49.25660264,-49.25704801,-49.25800809,-49.24714467,-49.25345006,-49.2493107,-49.25715973,-49.25435964,-49.25933302,-49.26105027,-49.25830389,-49.25887467,-49.25829667,-49.2583135,-49.25931524,-49.25875176
-49.24756815,-49.24757401,-49.24658608,-49.24656334,-49.72673232,-49.26570188,-49.264012,-49.2557146,-49.25697332,-49.25621695,-49.25732682,-49.25343446,-49.24412778,-49.2571917,-49.25778651,-49.26077169,-49.26049346,-49.25937482,-49.25797057,-49.25816581,-49.25831373,-49.25829317,-49.25861721,-49.25865737
-49.24387675,-49.24429922,-49.24602335,-49.2455486,-49.26197277,-49.26387903,-49.26615449,-49.25739651,-49.25869395,-49.25719751,-49.25694598,-49.25667646,-49.25716108,-49.25776921,-49.26179855,-49.26050666,-49.2607742,-49.25696538,-49.25832344,-49.26255737,-49.25862511,-49.25868721,-49.25866627,-49.25864591
-49.24429276,-49.24382129,-49.2457993,-49.24639476,-49.26413939,-49.26230101,-49.25464804,-49.25807242,-49.2575282,-49.25676038,-49.2565223,-49.25684087,-49.25424055,-49.26075101,-49.26050487,-49.2618606,-49.2584927,-49.25867813,-49.25875194,-49.25875197,-49.25867621,-49.2586709,-49.25871879,-49.25871892
-49.24588334,-49.24569308,-49.24549532,-49.24412828,-49.25693299,-49.25776412,-49.25762614,-49.25653405,-49.25442929,-49.25656754,-49.25672315,-49.25723171,-49.25934879,-49.26049334,-49.26075318,-49.25848162,-49.25868312,-49.25879256,-49.25875197,-49.25875194,-49.25866979,-49.25867766,-49.25871892,-49.25871879
-49.24562631,-49.24705578,-49.24646116,-49.24684276,-49.25794685,-49.25764879,-49.25777611,-49.25176029,-49.25604196,-49.25786079,-49.25865046,-49.258171,-49.2610235,-49.25938959,-49.25692967,-49.25867743,-49.25878921,-49.25875262,-49.25884139,-49.2587092,-49.25860919,-49.25869977,-49.25868143,-49.25868876
-49.24524078,-49.24644879,-49.24664851,-49.24638024,-49.25754015,-49.25804284,-49.25703674,-49.25701504,-49.25710994,-49.25853202,-49.2582975,-49.25845664,-49.25828736,-49.25796201,-49.2583241,-49.25875161,-49.25875197,-49.25882636,-49.25871061,-49.25867048,-49.25882963,-49.25865055,-49.25868752,-49.25867967
-49.24446846,-49.24684378,-49.24635413,-49.2469844,-49.25575146,-49.25579784,-49.25701521,-49.25703264,-49.25699756,-49.25824444,-49.25842712,-49.25834157,-49.25869249,-49.25815676,-49.26171987,-49.25875196,-49.25875161,-49.25870899,-49.25866882,-49.25885645,-49.25869323,-49.25873172,-49.25879074,-49.25883758
-49.24260208,-49.26145929,-49.25066631,-49.25245977,-49.25579934,-49.25575064,-49.25711428,-49.25699822,-49.25704657,-49.25908142,-49.25832128,-49.25851258,-49.25824763,-49.25829408,-49.25862493,-49.25867609,-49.25866972,-49.25860852,-49.25882768,-49.25869195,-49.25873359,-49.25903631,-49.2588617,-49.25876584
-49.23900865,-49.24851639,-49.25179992,-49.23921535,-49.27443926,-49.26778233,-49.25845733,-49.26096286,-49.26173824,-49.25744797,-49.25797703,-49.25819553,-49.258291,-49.25820498,-49.25868665,-49.25867082,-49.2586775,-49.25869986,-49.25865024,-49.25873147,-49.25897959,-49.25886232,-49.25896823,-49.25860509
-49.22120034,-49.2567057,-49.25380746,-49.27012849,-49.26643676,-49.27571289,-49.25925674,-49.2618379,-49.26097467,-49.25810977,-49.253398,-49.25856,-49.25933771,-49.25860864,-49.25866626,-49.2587143,-49.25871985,-49.25868132,-49.25868751,-49.25879022,-49.25886184,-49.25894414,-49.25861216,-49.25814175
