0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-49.08850689,-49.14326178,-49.17513238,-49.19071702,-49.19471388,-49.19137083,-49.18467276,-49.17793811,-49.17366739,-49.17279935,-49.17506231,-49.17898618,-49.1831542,-49.18560031,-49.18592229,-49.18391282,-49.18144329,-49.17755921,-49.17642517,-49.17620782,-49.18064616,-49.1767312,-49.18582823,-49.18479285
-49.1767074,-49.21888222,-49.20574994,-49.19608485,-49.19289473,-49.19801461,-45.35845696,-49.1660102,-49.17258142,-49.17342481,-49.16993985,-48.60854534,-49.18997767,-49.18596615,-49.18564913,-49.18880225,-48.95084623,-49.17384285,-49.17618976,-49.17639474,-49.17167654,-49.51070656,-49.18443316,-49.18727971
-49.2186298,-49.20733956,-49.39287346,-49.15390441,-49.16845775,-49.1758223,-49.17922199,-49.18069899,-49.18145644,-49.18134874,-49.18105745,-49.18058224,-49.18040358,-49.18013962,-49.18036489,-49.18024247,-49.18071748,-49.18039904,-49.18108065,-49.18024964,-49.18134703,-49.17961063,-49.18167409,-49.03109456
-49.20578549,-49.34382514,-49.15649083,-49.17423386,-49.20669683,-49.18464853,-49.18183185,-49.18210494,-49.18136114,-49.18151599,-49.18176241,-49.18029581,-49.18099024,-49.18026375,-49.18028675,-49.18034092,-49.18052668,-49.18060913,-49.18067514,-49.18067087,-49.18062436,-49.18055625,-49.18050272,-49.180476
-49.19603472,-49.15355063,-49.17389188,-49.21654596,-49.18670005,-49.17955619,-49.18205912,-49.18187211,-49.18098957,-49.18179534,-49.18146134,-49.17956558,-49.18009092,-49.18028265,-49.18026031,-49.17999816,-49.18119108,-49.18073766,-49.18067117,-49.18067551,-49.18080837,-49.18021633,-49.18045168,-49.18048155
-49.19270621,-49.16837778,-49.20538693,-49.1865303,-49.18030958,-49.18247046,-49.1813166,-49.16950638,-49.17783673,-49.18026937,-49.18029182,-49.18050755,-49.18054543,-49.18062316,-49.1805802,-49.18057439,-49.18054115,-49.18053976,-49.18052703,-49.18053738,-49.18054393,-49.1805501,-49.18055541,-49.18056076
-49.19739246,-49.17575413,-49.18468346,-49.17943998,-49.18245071,-49.18145656,-49.17954598,-49.17758087,-49.13958305,-49.18029237,-49.18026729,-49.18055136,-49.18045718,-49.18059304,-49.18057334,-49.18058134,-49.1805397,-49.18054133,-49.18053297,-49.1805579,-49.18071312,-49.18058461,-49.18067472,-49.18055787
-49.87314341,-49.17915812,-49.18183449,-49.182059,-49.18130258,-49.17947166,-49.17772863,-49.17922993,-49.18000274,-49.18057136,-49.18064819,-49.18066651,-49.18060763,-49.18058209,-49.18060679,-49.18038579,-49.18052099,-49.18053105,-49.18053602,-49.18062433,-49.18059283,-49.18060551,-49.18058602,-49.18055742
-49.1658323,-49.18065321,-49.18210263,-49.18187362,-49.17079186,-49.17758965,-49.17917884,-49.18004011,-49.18204604,-49.18063874,-49.18067082,-49.18065061,-49.1805432,-49.18049634,-49.18054066,-49.18053268,-49.18054691,-49.18075952,-49.18054325,-49.18058864,-49.1806026,-49.18059337,-49.18078265,-49.18055691
-49.17261076,-49.18142762,-49.18134916,-49.18097901,-49.177824,-49.15726666,-49.17999758,-49.18178917,-49.18065657,-49.18066014,-49.18064339,-49.18060658,-49.1805069,-49.18052736,-49.18053453,-49.18053762,-49.18050987,-49.18055752,-49.18054932,-49.18063503,-49.1805897,-49.18062545,-49.18056654,-49.18055549
-49.17351304,-49.18134118,-49.18146387,-49.18176838,-49.18025996,-49.18029117,-49.18057377,-49.18063889,-49.18066014,-49.18065672,-49.18038847,-49.18042734,-49.18053878,-49.1805355,-49.180583,-49.18053124,-49.18054318,-49.18055076,-49.18055267,-49.18055288,-49.18055332,-49.18055289,-49.18055374,-49.18055491
-49.17023491,-49.18105919,-49.18172351,-49.18139526,-49.18029016,-49.18025604,-49.18064755,-49.18067133,-49.18064349,-49.18037497,-49.18042763,-49.18038257,-49.18053524,-49.18053773,-49.18053235,-49.1805126,-49.18055596,-49.18055487,-49.18055289,-49.18055246,-49.18055311,-49.18055318,-49.18055129,-49.18051158
-48.92335192,-49.18059043,-49.18029537,-49.17953834,-49.18050217,-49.18055033,-49.1806664,-49.18065012,-49.18060758,-49.18042715,-49.1803637,-49.18053874,-49.1805441,-49.18053053,-49.18054101,-49.18056246,-49.1805548,-49.1805564,-49.18055328,-49.18055313,-49.18055324,-49.18055309,-49.18056169,-49.18054753
