,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-75.7008545,-75.66488784,-75.73711369,-75.69809533,-75.73876335,-75.7126116,-75.7358531,-75.72181609,-75.73197256,-75.72764931,-75.72879882,-75.73079274,-75.72706998,-75.73183158,-75.72678183,-75.7314557,-75.72747885,-75.73039328,-75.72855574,-75.72927145,-75.7294956,-75.72850169,-75.73000356,-75.72823766
2,-75.66858298,-75.68888527,-75.7117774,-75.71800039,-75.72284502,-75.72491422,-75.72710101,-75.72770825,-75.72894003,-75.72855736,-75.72608438,-75.72949425,-75.72915922,-75.72938077,-75.72920903,-75.72930699,-75.72916069,-75.72926628,-75.72907082,-75.72959782,-75.7293127,-75.72909978,-75.72919194,-75.7291274
3,-75.68789542,-75.71658707,-75.72467358,-75.7284216,-75.727517,-75.74299762,-75.72803104,-75.72620501,-75.7286737,-75.72885946,-75.72912171,-75.72924723,-75.72928458,-75.7292877,-75.72926985,-75.72924988,-75.72921986,-75.72920165,-75.72918249,-75.72917062,-75.72916247,-75.72915786,-75.72915568,-75.72915544
4,-75.71162584,-75.72459295,-75.72920488,-75.72763809,-75.72823949,-75.72985927,-75.72971338,-75.72968351,-75.72949109,-75.72943417,-75.72934477,-75.72931499,-75.72928789,-75.72928512,-75.7293145,-75.72790932,-75.72900799,-75.72912303,-75.72913923,-75.72914616,-75.72915252,-75.72915342,-75.72915542,-75.72915561
5,-75.71785656,-75.72837197,-75.72762856,-75.72861396,-75.73119214,-75.72972679,-75.72967497,-75.72971851,-75.72940137,-75.72955733,-75.72928892,-75.72940252,-75.72924148,-75.72942971,-75.7292335,-75.72905103,-75.72933454,-75.72914783,-75.72915603,-75.72911051,-75.72915369,-75.72915222,-75.72915648,-75.72915455
6,-75.72278643,-75.72752136,-75.72820808,-75.73112792,-75.72982531,-75.72968857,-75.72973658,-75.73012595,-75.72876856,-75.72906188,-75.7291029,-75.72912382,-75.72914172,-75.72914345,-75.72915494,-75.72915221,-75.72916274,-75.7291538,-75.72914418,-75.72916909,-75.72916038,-75.72916461,-75.72916179,-75.72916399
7,-75.72486699,-75.74193324,-75.72984247,-75.72972421,-75.72968789,-75.7301948,-75.72924347,-75.72895029,-75.72915832,-75.72911464,-75.72915834,-75.72934614,-75.72914368,-75.72914142,-75.72915279,-75.72915433,-75.72915804,-75.7291595,-75.72916091,-75.72916184,-75.72916238,-75.72916265,-75.7291628,-75.72916281
8,-75.72707732,-75.72802806,-75.72971362,-75.72967368,-75.72973287,-75.72924107,-75.72901556,-75.72908603,-75.72911854,-75.72913009,-75.73125212,-75.72917271,-75.72915765,-75.72916709,-75.72916319,-75.72916535,-75.72916299,-75.72916455,-75.72916321,-75.72916343,-75.72916282,-75.729163,-75.72916282,-75.72916281
9,-75.72769138,-75.72614287,-75.72968367,-75.72971885,-75.7300356,-75.72895118,-75.72908579,-75.72912781,-75.72915116,-75.72908325,-75.72914485,-75.72915876,-75.72916175,-75.729164,-75.72916442,-75.72916409,-75.72916378,-75.72916371,-75.72916338,-75.72916325,-75.72916292,-75.72916288,-75.7291628,-75.72916282
10,-75.72894902,-75.728657,-75.72949299,-75.72939965,-75.72874682,-75.72915522,-75.72911846,-75.72915109,-75.72911397,-75.72918729,-75.72916297,-75.729164,-75.72916457,-75.72916462,-75.7291642,-75.72916297,-75.72916367,-75.72916381,-75.72916412,-75.72916243,-75.72916281,-75.72916176,-75.72916169,-75.72916298
11,-75.72850251,-75.72885627,-75.72943469,-75.72956498,-75.72905888,-75.72911482,-75.72912976,-75.72908279,-75.72918702,-75.72916514,-75.7291639,-75.72916505,-75.72916462,-75.72916457,-75.72916388,-75.72916372,-75.7291634,-75.72916399,-75.72916372,-75.72916292,-75.72916272,-75.72916169,-75.72916176,-75.72916321
12,-75.72768395,-75.72911134,-75.72934546,-75.72928743,-75.72910225,-75.729156,-75.73285416,-75.72914436,-75.72916299,-75.7291639,-75.72916427,-75.7291646,-75.72916525,-75.72916423,-75.72916375,-75.72916394,-75.72916421,-75.72916772,-75.72914474,-75.72916235,-75.7291626,-75.72916287,-75.72916309,-75.72916479
