,0,1,2,3,4,5,6,7,8,9
0,-100.03588708196347,-100.03535800811608,-100.0545614012091,-100.05685893203568,-100.06191611862442,-100.06225910243847,-100.06353427979455,-100.06315130095793,-100.06321516798643,-100.06282253324325
1,-100.03535914697139,-100.03587288784345,-100.05717129404628,-100.0526477800276,-100.06228406149711,-100.06178990799154,-100.0632397624831,-100.06320603921841,-100.0631602366806,-100.06262823842631
2,-100.03446963343976,-100.0593215153962,-100.06585648229459,-100.0640924616913,-100.0639778970734,-100.06350790104743,-100.06321012251688,-100.06324436951162,-100.0637321258497,-100.06130007543527
3,-100.05720966853193,-100.06575523917778,-100.06420296444063,-100.06396861401336,-100.06411695211496,-100.06196575822739,-100.06236294289268,-100.06230134056223,-100.06232918640696,-100.06246428319322
4,-100.0518580426346,-100.06410454180455,-100.06396642749685,-100.06430944150935,-99.99662934727232,-100.06239418331718,-100.06231277044972,-100.0623209158796,-100.06229496642182,-100.06240530070518
5,-100.06228945886849,-100.06397840404252,-100.06413511723491,-100.31893136876293,-100.06257695741117,-100.06229382348681,-100.06232145703467,-100.06231184311108,-100.06234938189091,-100.0624197272406
6,-100.06164841438309,-100.06351086129291,-100.06190852165422,-100.0624002519883,-100.06229228689833,-100.06232743055064,-100.06228159044868,-100.06236077879936,-100.06251734778421,-100.06243737691416
7,-100.0632345769778,-100.0632078178875,-100.06236129588846,-100.06231175473965,-100.06232152319296,-100.06227868323903,-100.06238843470531,-100.06243123197282,-100.06244005563482,-100.06243642799987
8,-100.06320440723094,-100.06323822289745,-100.06230175552811,-100.06232074303465,-100.06231059530447,-100.06236243365436,-100.06243078264515,-100.0624408326354,-100.06243756764714,-100.06247411581371
9,-100.06316292124858,-100.06368278949003,-100.06232882739013,-100.06229571463274,-100.06234858062982,-100.06249979071184,-100.06244000045082,-100.06243751723748,-100.06242292427578,-100.06243258710302
