,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-55.68584709,-270.4388901470984,-66.88815818387604,-164.71313871323466,-76.48456794154534,-132.44023268082506,-83.98335948822137,-118.04559344461596,-89.4387494511137,-110.56938270747813,-93.20457640005857,-106.37895221730699,-95.71086591217022,-103.92942725855346,-97.33858646955437,-102.46226587648026,-98.37897814896148,-101.57066021934205,-99.03719104734058,-101.02404625193563,-99.45091657344365,-100.68713306965462,-99.70990243184161,-100.47878784536394,-99.87160548157
1,-99.90546769,-100.12751957761489,-100.12681956289104,-100.13607274686672,-100.13640078329823,-100.1380112311749,-100.13791190480559,-100.13837246727738,-100.13826628186914,-100.13840672104948,-100.13834312756687,-100.13839468560889,-100.13835885134658,-100.13838342487949,-100.13836293899017,-100.13837738801178,-100.13836483908467,-100.13837452449751,-100.13836609195009,-100.13837319056275,-100.13836692001696,-100.13837236951026,-100.13836743707816,-100.13837195758373,-100.13836774629279
2,-100.12641009999999,-100.12682176559947,-100.12747033239766,-100.13641284179761,-100.1359888291021,-100.13791767526969,-100.13799360989317,-100.13828617709412,-100.13832674829509,-100.13836294874868,-100.13837160085018,-100.13837354486708,-100.13837342846404,-100.13837225276129,-100.1383714118946,-100.13837067197579,-100.13837030545616,-100.13837001668068,-100.13836994608448,-100.13836986110799,-100.13836983563458,-100.13836978047905,-100.138369795812,-100.13836977738609,-100.13836979900549
3,-100.12682099999999,-100.12639079531098,-100.13685061633268,-100.13854000301014,-100.138213967368,-100.1384273638599,-100.13839554966455,-100.1383898985827,-100.1383779934473,-100.1383783075151,-100.138373905313,-100.1383734356078,-100.13837355652329,-100.13836991741805,-100.13834880137422,-100.13837001656668,-100.13836849252972,-100.1383699251392,-100.1383703225094,-100.13836982512254,-100.13836988221324,-100.1383697925326,-100.13836978741334,-100.13836978737932,-100.13836980158246
4,-100.13597790000001,-100.13641754103165,-100.13850917418192,-100.13822642213681,-100.1383358788585,-100.13839808697543,-100.13838855845782,-100.13839964506627,-100.13837829762636,-100.13837800865754,-100.13837322406549,-100.13837423772907,-100.13837219809992,-100.13836493652254,-100.13836869546262,-100.13836956794559,-100.13836973850421,-100.13836981531533,-100.13836978788731,-100.13836970409413,-100.13836974327819,-100.13836978265383,-100.13836978737925,-100.13836978741314,-100.13836977426745
5,-100.1363974,-100.1358281805428,-100.13821607629787,-100.13833186589676,-100.13840192158023,-100.13839164283903,-100.13840774855666,-100.13837061060275,-100.13837037366689,-100.13836742652539,-100.13836955259468,-100.13836989201006,-100.1383695910373,-100.13836986320237,-100.1383697702831,-100.13836996989426,-100.13836986415687,-100.13836979824568,-100.13836983202877,-100.13836973834984,-100.13836960669919,-100.1383697944189,-100.13836976358776,-100.1383707049151,-100.13836979970472
6,-100.1379923,-100.13791666537061,-100.13842416053394,-100.13839799588055,-100.1383915503765,-100.13862984597823,-100.13838065282137,-100.13837037408804,-100.13837063997558,-100.13836882480514,-100.13837000641395,-100.1383697381382,-100.13836974224942,-100.13836979294457,-100.1383698301556,-100.13836988641657,-100.1383703098069,-100.13836972583948,-100.13836977527805,-100.13836976933733,-100.13836978523297,-100.13836981558943,-100.13836964642049,-100.13836977652153,-100.13836979996422
7,-100.1379129,-100.13798047858617,-100.13839589934636,-100.13838817324486,-100.13840744293024,-100.13838055162827,-100.13837297123705,-100.13836766985533,-100.1383688441924,-100.13836929820465,-100.1383695845249,-100.13836974229679,-100.13836973763898,-100.13836965180717,-100.13836996168759,-100.13836984990915,-100.1383697634776,-100.13836984886242,-100.13836977042787,-100.13836977313224,-100.1383697441944,-100.13836993488815,-100.13836984394037,-100.13836980602547,-100.13836979998035
8,-100.1383668,-100.1382853244577,-100.13838991930051,-100.13840074858737,-100.13836921543108,-100.13837042441934,-100.13836762055995,-100.13836916153845,-100.13837010335361,-100.13836959211575,-100.13837168810389,-100.13836979374842,-100.13836966547395,-100.13836978013649,-100.13836974289822,-100.13836981659277,-100.13836981009518,-100.1383697876352,-100.13836977609861,-100.13836976603086,-100.13836980898847,-100.13836980761329,-100.13836974701074,-100.13836979651558,-100.13836980484172
9,-100.1382675,-100.1383251418251,-100.13837807675637,-100.13837829390361,-100.13837041635621,-100.13836964471233,-100.13836884201254,-100.13837008470786,-100.13836965363981,-100.13836976347986,-100.13836979990661,-100.13836987593231,-100.13837004142775,-100.13836974414309,-100.1383697707899,-100.13836981152916,-100.13836981773868,-100.13836977053818,-100.13836978220743,-100.13836971112197,-100.13836980762797,-100.13836980903616,-100.13836978491213,-100.1383696060319,-100.13836981243654
