,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-56.23609083,-249.36982857020644,-68.49712617854982,-154.85555853145232,-78.66989244829855,-126.47040580847145,-86.23433515210664,-114.11449112505777,-91.42066818486067,-107.89399648564194,-94.78188158007325,-104.53376383678217,-96.8816020515164,-102.64945442364714,-98.16335080019206,-101.57057345770528,-98.93476858751602,-100.94544496435601,-99.39506065487488,-100.5807091105957,-99.66828008821257,-100.36703471047302,-99.82994975519158,-100.24156163184618,-99.92543665274884
1,-99.79022278,-100.03588708196347,-100.03535800811608,-100.0545614012091,-100.05685893203568,-100.06191611862442,-100.06225910243847,-100.06353427979455,-100.06315130095793,-100.06321516798643,-100.06282253324325,-100.06269256020529,-100.06247954322853,-100.06242314856709,-100.06235469280746,-100.06236781916948,-100.06236324894257,-100.06239605460858,-100.06240242680191,-100.06242769660159,-100.06242677531222,-100.06244054236525,-100.0624325805009,-100.06244014374512,-100.06242963365645
2,-100.0345092,-100.03535914697139,-100.03587288784345,-100.05717129404628,-100.0526477800276,-100.06228406149711,-100.06178990799154,-100.0632397624831,-100.06320603921841,-100.0631602366806,-100.06262823842631,-100.06302598042433,-100.06240284081268,-100.06274327008765,-100.06236570710635,-100.06236442923267,-100.06236726031976,-100.06240396298749,-100.062393905823,-100.06242680772073,-100.06242763881413,-100.06243549795407,-100.0624364591546,-100.06243574564012,-100.06243372088501
3,-100.03535620000001,-100.03446963343976,-100.0593215153962,-100.06585648229459,-100.0640924616913,-100.0639778970734,-100.06350790104743,-100.06321012251688,-100.06324436951162,-100.0637321258497,-100.06130007543527,-100.06213292490382,-100.0622851266497,-100.06233713232537,-100.06236425595992,-100.06236561860385,-100.06235421983912,-100.05804506008504,-100.06247411385331,-100.06244771482116,-100.0624398218679,-100.06243689677837,-100.0624360012912,-100.06243721567549,-100.06244914036759
4,-100.0543349,-100.05720966853193,-100.06575523917778,-100.06420296444063,-100.06396861401336,-100.06411695211496,-100.06196575822739,-100.06236294289268,-100.06230134056223,-100.06232918640696,-100.06246428319322,-100.0623682312858,-100.0625253213549,-100.0624030200837,-100.06249101663393,-100.06241774485107,-100.06244670581216,-100.0624227661492,-100.06243510982715,-100.06242331533687,-100.0624323083453,-100.06242021749676,-100.0624319009877,-100.06242036568167,-100.06243195632256
5,-100.0568315,-100.0518580426346,-100.06410454180455,-100.06396642749685,-100.06430944150935,-99.99662934727232,-100.06239418331718,-100.06231277044972,-100.0623209158796,-100.06229496642182,-100.06240530070518,-100.06241579011339,-100.06242897310361,-100.06243182363771,-100.06243261571566,-100.06243259018073,-100.06243143594929,-100.0624308953552,-100.06242988617277,-100.06242976701752,-100.062429250223,-100.06242944740681,-100.06242949809815,-100.06242916697401,-100.06242914431392
6,-100.0618446,-100.06228945886849,-100.06397840404252,-100.06413511723491,-100.31893136876293,-100.06257695741117,-100.06229382348681,-100.06232145703467,-100.06231184311108,-100.06234938189091,-100.0624197272406,-100.06306193002796,-100.06243275272006,-100.06243288026398,-100.06243259098868,-100.0624326162475,-100.06243048259483,-100.06243191375889,-100.06242975447165,-100.06242991824836,-100.06242939993668,-100.06242951513838,-100.06242945492662,-100.06242914258188,-100.06242916636016
7,-100.0622532,-100.06164841438309,-100.06351086129291,-100.06190852165422,-100.0624002519883,-100.06229228689833,-100.06232743055064,-100.06228159044868,-100.06236077879936,-100.06251734778421,-100.06243737691416,-100.06243648644127,-100.0624328760763,-100.06243278365443,-100.06243297480736,-100.06243202655655,-100.06243892255792,-100.06242635569663,-100.06242877787193,-100.06242921541207,-100.0624294577763,-100.06242942012034,-100.06242935243554,-100.06242937732823,-100.06242935975015
8,-100.0635128,-100.0632345769778,-100.0632078178875,-100.06236129588846,-100.06231175473965,-100.06232152319296,-100.06227868323903,-100.06238843470531,-100.06243123197282,-100.06244005563482,-100.06243642799987,-100.06243767068655,-100.06243246562897,-100.06243295908011,-100.06243270311175,-100.0624300113151,-100.06242949766549,-100.062429555619,-100.06242995615634,-100.06243160941173,-100.06242938311074,-100.0624302153304,-100.06242937456442,-100.06242936655258,-100.06242937330705
9,-100.06315570000001,-100.06320440723094,-100.06323822289745,-100.06230175552811,-100.06232074303465,-100.06231059530447,-100.06236243365436,-100.06243078264515,-100.0624408326354,-100.06243756764714,-100.06247411581371,-100.06243110940557,-100.06242787219841,-100.06242866458781,-100.06242582341845,-100.06242952858986,-100.0624295500326,-100.06242948639591,-100.06242899746356,-100.06243003790455,-100.06242929794837,-100.06242933308236,-100.06242936181513,-100.06242937210617,-100.06242935651669
