,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-8.006279002,-8.012027965,-8.013650699,-8.01413172,-8.014287495,-8.014346397,-8.01437392,-8.014389089,-8.014398161,-8.014403728,-8.014407156,-8.014409266,-8.014410561,-8.014411356,-8.014411844,-8.014412143,-8.014412327,-8.014412439,-8.014412507,-8.014412548,-8.014412574,-8.014412588,-8.014412598,-8.014412603
2,-8.014004567,-8.014286829,-8.014334492,-8.014362071,-8.014382215,-8.014398058,-8.014407714,-8.014411659,-8.014412572,-8.014412649,-8.014412641,-8.014412624,-8.014412619,-8.014412617,-8.01441262,-8.014412615,-8.014412617,-8.014412611,-8.014412612,-8.014412615,-8.014412608,-8.014412618,-8.014412608,-8.014412611
3,-8.014286639,-8.014342757,-8.014394223,-8.014418491,-8.014423824,-8.014414779,-8.014413285,-8.014412788,-8.014412655,-8.014412642,-8.014412654,-8.014412617,-8.014412616,-8.014412618,-8.014412618,-8.014412616,-8.014412615,-8.014412612,-8.014412609,-8.014412613,-8.014412612,-8.014412612,-8.01441261,-8.014412613
4,-8.014334404,-8.014394064,-8.014420184,-8.014424588,-8.014420175,-8.014412775,-8.014412424,-8.014412573,-8.014412637,-8.01441274,-8.014412622,-8.014412616,-8.014412617,-8.014412618,-8.014412618,-8.014412621,-8.014412634,-8.014412613,-8.014412613,-8.014412613,-8.014412612,-8.014412612,-8.01441261,-8.014412609
5,-8.014361954,-8.014418446,-8.014424583,-8.014421136,-8.014414697,-8.014412464,-8.014412543,-8.014412819,-8.014412621,-8.014412615,-8.014412617,-8.014412619,-8.014412618,-8.014412618,-8.01441262,-8.014412604,-8.01441262,-8.014412612,-8.014412612,-8.014412613,-8.014412613,-8.014412613,-8.014412611,-8.014412611
6,-8.014382009,-8.014423815,-8.014420152,-8.014414681,-8.014412592,-8.014412565,-8.014410939,-8.014412603,-8.014412617,-8.014412617,-8.014412614,-8.014412619,-8.014412621,-8.014412607,-8.014412626,-8.014412619,-8.014412616,-8.014412613,-8.014412612,-8.014412613,-8.014412613,-8.014412613,-8.014412611,-8.014412611
7,-8.014397712,-8.014414779,-8.01441277,-8.014412463,-8.014412565,-8.014412587,-8.014412626,-8.014412618,-8.014412617,-8.014412617,-8.014412618,-8.014412617,-8.01441261,-8.01441264,-8.014412598,-8.014412614,-8.014412609,-8.014412611,-8.014412608,-8.014412614,-8.014412612,-8.014412613,-8.014412611,-8.014412611
8,-8.01440738,-8.01441328,-8.014412425,-8.014412542,-8.014410655,-8.014412626,-8.014412619,-8.014412616,-8.014412618,-8.014412618,-8.014412617,-8.014412618,-8.014412623,-8.014412602,-8.014412617,-8.014412612,-8.014412611,-8.01441261,-8.014412612,-8.014412603,-8.014412611,-8.01441261,-8.014412611,-8.014412611
9,-8.014411483,-8.014412781,-8.014412572,-8.014412821,-8.014412602,-8.014412618,-8.014412616,-8.014412618,-8.014412618,-8.014412618,-8.014412628,-8.014412611,-8.014412617,-8.014412614,-8.014412612,-8.014412611,-8.014412609,-8.014412611,-8.01441261,-8.01441261,-8.014412611,-8.014412611,-8.014412611,-8.014412611
10,-8.014412514,-8.014412649,-8.014412637,-8.014412621,-8.014412617,-8.014412617,-8.014412618,-8.014412618,-8.014412618,-8.014412619,-8.014412612,-8.014412623,-8.014412615,-8.014412609,-8.01441261,-8.01441261,-8.014412611,-8.014412617,-8.01441261,-8.01441261,-8.014412611,-8.014412611,-8.014412611,-8.014412611
11,-8.014412634,-8.014412638,-8.014412669,-8.014412615,-8.014412617,-8.014412617,-8.014412618,-8.014412618,-8.014412619,-8.014412618,-8.014412618,-8.014412616,-8.014412614,-8.01441261,-8.01441261,-8.01441261,-8.014412606,-8.01441261,-8.014412611,-8.014412611,-8.014412612,-8.014412613,-8.014412611,-8.014412611
12,-8.014412638,-8.014412635,-8.014412621,-8.014412617,-8.014412614,-8.014412618,-8.014412617,-8.014412628,-8.014412612,-8.014412618,-8.014412618,-8.014412611,-8.014412611,-8.01441261,-8.01441261,-8.014412609,-8.014412609,-8.014412611,-8.014412611,-8.01441261,-8.014412613,-8.014412612,-8.014412611,-8.014412611
13,-8.014412623,-8.014412617,-8.014412616,-8.014412619,-8.014412618,-8.014412617,-8.014412618,-8.014412611,-8.014412623,-8.014412616,-8.014412611,-8.014412611,-8.014412611,-8.014412612,-8.014412608,-8.014412609,-8.014412609,-8.014412611,-8.014412611,-8.014412601,-8.014412611,-8.014412611,-8.014412611,-8.014412611
14,-8.014412619,-8.014412616,-8.014412617,-8.014412618,-8.014412619,-8.014412606,-8.014412623,-8.014412617,-8.014412615,-8.014412614,-8.014412611,-8.014412611,-8.014412612,-8.014412611,-8.01441261,-8.014412611,-8.014412611,-8.014412612,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
15,-8.014412617,-8.014412618,-8.014412618,-8.014412618,-8.014412563,-8.014412628,-8.014412589,-8.014412614,-8.014412609,-8.01441261,-8.01441261,-8.014412612,-8.014412611,-8.01441261,-8.01441261,-8.014412611,-8.014412611,-8.014412612,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
16,-8.01441262,-8.014412618,-8.014412618,-8.01441262,-8.014412626,-8.014412847,-8.014412616,-8.014412612,-8.01441261,-8.01441261,-8.01441261,-8.014412608,-8.01441261,-8.01441261,-8.014412611,-8.014412614,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
17,-8.014412615,-8.014412616,-8.014412621,-8.014412604,-8.014412619,-8.014412614,-8.014412611,-8.014412611,-8.01441261,-8.01441261,-8.014412609,-8.014412609,-8.014412611,-8.014412611,-8.014412614,-8.014412612,-8.014412599,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
18,-8.014412617,-8.014412615,-8.014412633,-8.01441262,-8.014412616,-8.014412608,-8.014412611,-8.014412611,-8.014412611,-8.014412606,-8.014412609,-8.014412609,-8.014412611,-8.014412611,-8.014412612,-8.014412599,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412612,-8.014412611,-8.014412611,-8.014412611
19,-8.014412611,-8.014412612,-8.014412613,-8.014412612,-8.014412613,-8.014412611,-8.01441261,-8.014412611,-8.014412611,-8.01441261,-8.014412611,-8.014412611,-8.014412612,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412614,-8.014412611,-8.014412611,-8.014412611,-8.014412611
20,-8.014412612,-8.014412609,-8.014412613,-8.014412612,-8.014412612,-8.014412608,-8.014412612,-8.01441261,-8.01441261,-8.01441261,-8.014412611,-8.01441261,-8.014412612,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
21,-8.014412615,-8.014412613,-8.014412613,-8.014412613,-8.014412613,-8.014412614,-8.014412603,-8.01441261,-8.01441261,-8.014412611,-8.01441261,-8.014412614,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412614,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
22,-8.014412608,-8.014412612,-8.014412612,-8.014412613,-8.014412613,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412612,-8.014412613,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
23,-8.014412618,-8.014412612,-8.014412612,-8.014412613,-8.014412613,-8.014412613,-8.01441261,-8.014412611,-8.014412611,-8.014412613,-8.014412612,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
24,-8.014412608,-8.01441261,-8.01441261,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611,-8.014412611
