,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,-7.895299219,-7.90525733,-7.915342338,-7.921647589,-7.92862824,-7.933202298,-7.937879328,-7.940444678,-7.942760748,-7.94332862,-7.943258097,-7.938601605,-7.945241331,-7.946272317,-7.917560442,-7.954263358,-7.922484691,-7.917494253,-7.925315689,-7.926038173,-7.926170564,-7.92526579,-7.923175233,-7.917812193
2,-7.909419353,-1.8284286,-7.932699955,-7.833472251,-7.943447531,-8.023152788,-7.944960971,-7.949500707,-7.943623087,-7.943264346,-7.943333697,-7.947593782,-7.94617998,-7.945115815,-8.033308144,-7.852821821,-7.918996838,-7.921656873,-7.926770504,-7.924018853,-7.928805762,-8.777730134,-7.93284184,-7.933287657
3,-8.42243124,-7.936899668,-7.953810388,-7.961190353,-7.957545364,-7.9528197,-7.947632794,-7.945929155,-7.9429371,-7.943870941,-7.942288936,-7.946390184,-7.947380503,-7.956694368,-7.911948335,-7.94546473,-7.932489542,-7.938364123,-7.934558725,-7.936988148,-7.934628075,-7.936319299,-7.933267788,-7.932782967
4,-7.932974965,-7.953197622,-7.961891989,-7.958702924,-7.96502638,-8.170244926,-7.897405452,-7.909204698,-7.923958289,-7.925491803,-7.929976564,-7.930980751,-7.932979177,-7.933625568,-7.934704294,-7.935060222,-7.935600841,-7.935684273,-7.935804359,-7.935669289,-7.935470708,-7.935232558,-7.934899655,-7.934612252
5,-7.811904977,-7.961076296,-7.958611694,-7.973051908,-7.913997709,-7.916356008,-7.91200253,-7.886580714,-7.925839309,-7.923423676,-7.931422416,-7.929196095,-7.934002488,-7.932118139,-7.935223375,-7.934113193,-7.935696467,-7.935436226,-7.935737372,-7.93629057,-7.935964914,-7.938869139,-7.942186472,-7.930608877
6,-7.943921292,-7.957573962,-7.96448902,-7.912421247,-7.916370913,-7.914835499,-7.915865444,-7.935106635,-7.936687149,-7.941454468,-7.939937205,-7.939516456,-7.938195765,-7.937399566,-7.936644457,-7.936212174,-7.935863602,-7.935755535,-7.935676548,-7.935984649,-7.936148788,-7.94317754,-7.938195835,-7.933644757
7,-8.002528467,-7.952904504,-8.122523407,-7.916329048,-7.914300969,-7.915872261,-7.914350482,-7.936769584,-7.933663809,-7.940225034,-7.939312279,-7.940099061,-7.934354194,-7.945664138,-7.933139362,-7.923574612,-7.93337305,-7.932119137,-7.93380769,-7.933615686,-7.934194196,-7.934160618,-7.934486364,-7.93447206
8,-7.945282922,-7.94758848,-7.896157468,-7.912024812,-7.915848019,-7.912832772,-7.938361405,-7.941029329,-7.940626077,-7.939739921,-7.940617089,-7.943784197,-8.393898879,-7.924505093,-7.929913637,-7.931419075,-7.932604456,-7.933016216,-7.93364985,-7.933769186,-7.934162967,-7.934191162,-7.934472712,-7.934485195
9,-7.948744508,-7.946029119,-7.908970028,-7.882431352,-7.934650885,-7.936746592,-7.941011821,-7.940647636,-7.941294972,-7.944567895,-7.923343764,-7.920066937,-7.934339316,-7.931660117,-7.935818282,-7.93467821,-7.936126638,-7.936799451,-7.935795736,-7.935251954,-7.935265313,-7.935404893,-7.934774856,-7.934710266
10,-7.943678652,-7.942695798,-7.923817508,-7.92583502,-7.936607069,-7.93176887,-7.940627651,-7.941246172,-7.945205078,-7.937696331,-7.920178705,-7.923069261,-7.932094583,-7.93298726,-7.93476373,-7.935211722,-7.937052728,-7.93634865,-7.933140852,-7.935264879,-7.935250339,-7.935278752,-7.934680386,-7.934732484
11,-7.943177439,-7.944200749,-7.925440931,-7.923201969,-7.941331224,-7.940195193,-7.939717846,-7.944507972,-7.937514277,-7.923294292,-7.931661125,-7.933281622,-7.933867822,-7.938084462,-7.936150697,-7.940606323,-7.935921083,-7.935447518,-7.935604635,-7.935388021,-7.935277229,-7.935256428,-7.934777657,-7.934707253
12,-7.943197099,-7.941468904,-7.929932241,-7.931398189,-7.93994951,-7.939282768,-7.940548039,-7.922369146,-7.920081465,-7.931599355,-7.933371507,-7.934124274,-7.932762615,-7.936292654,-7.93683443,-7.936645944,-7.935561613,-7.935583266,-7.935510075,-7.935657472,-7.934739348,-7.936096112,-7.934232512,-7.934213592
13,-7.944799734,-7.949411383,-7.930940829,-7.929141892,-7.939522253,-7.940120153,-7.943332109,-7.920028785,-7.92222471,-7.933271952,-7.934112901,-7.932982853,-7.941622125,-7.937288272,-7.936658641,-7.936888034,-7.935584174,-7.935564211,-7.935611371,-7.935417223,-7.904362915,-7.924007131,-7.934214046,-7.934245083
14,-7.946954931,-7.942518498,-7.932982723,-7.933926228,-7.93821391,-7.934131762,-8.145874729,-7.934109956,-7.932056242,-7.933861406,-7.932734047,-7.941010587,-7.937341651,-7.934456135,-7.940520695,-7.935883615,-7.935384209,-7.935617356,-7.935550703,-7.936463078,-7.924288409,-7.895958785,-7.934168654,-7.934224764
